Easiest Location (for top items),Item,Type,Subtype,Flavor,Power,ACC,DEF,INI,Elem.,Aff.,Skill,Skill,Min LV,Rarity,Cost,Region,Region,Region,Region,Attribute,Attribute,Attribute,Attribute,Item
—,Dark Gown of Darkness,Armor,Armor,Nephilli,78,10,10,-1,Dark ,20,DeathDefense,,1,Rare,19844,,,,,Classspecific,,,,Dark Gown of Darkness
—,Dark Crown of Mortuus,Helmet,HelmetA,Nephilli,100,-1,1,,Dark ,20,DeathDefense,,1,Rare,1008,,,,,,,,,Dark Crown of Mortuus
D: Valens Advanced,Munio's Armor,Armor,Armor,Valens,87,5,6,-12,,,HPUP,,23,Unique,217074,Imperia,,,,Tracked,Unsellable,Classspecific,,Munio's Armor
D:Arcane lv 18+,Magus,Weapon,Staff,Plain,54,15,-9,,Air ,14,MagicUP,MagicDefUP,18,Infrequent,106272,Imperia,,,,,,,,Air Magus
D:Arcane lv 18+,Magus,Weapon,Staff,Plain,54,15,-9,,Earth ,14,MagicUP,MagicDefUP,18,Infrequent,106272,Imperia,,,,,,,,Earth Magus
D:Arcane lv 18+,Magus,Weapon,Staff,Plain,54,15,-9,,Water ,14,MagicUP,MagicDefUP,18,Infrequent,106272,Imperia,,,,,,,,Water Magus
D:Valens Advanced,Munio's Shield,Shield,Shield,Valens,233,,16,,,,StrengthUP,AffinityX2,21,Unique,25536,Imperia,,,,Unsellable,Unbreakable,Classspecific,,Munio's Shield
D:Valens Advanced,Munio's Sword,Weapon,Sword,Valens,67,18,-10,,,,CriticalAttackUP,AffinityX2,22,Unique,80784,Imperia,,,,Unsellable,Classspecific,,,Munio's Sword
"L:Cretin, Tolui Earth and Water",Venomous Pair,Weapon,Axe,Dervish,66,12,-10,,Water ,20,AddPoison,,22,Very Rare,104544,Steppes,,,,Tracked,Classspecific,,,Water Venomous Pair
"L:Galverb, Cretin, Dark Legion",Dark The Carnivore Dark,Weapon,Axe,Undead,60,10,-10,,Dark ,12,,,19,Very Rare,49248,Steppes,,,,Classspecific,,,,Dark The Carnivore Dark
L:Galverg,Dark Dark Gear,Armor,Armor,Undead,71,,6,-12,Dark ,14,,,18,Unique,121968,Imperia,,,,Classspecific,,,,Dark Dark Gear
"L:Galverg, Cressus",Dark Crown of Darkness,Helmet,HelmetB,UndeadCaster,100,-5,4,,Dark ,16,DeathDefense,,20,Unique,17600,Imperia,,,,Classspecific,,,,Dark Crown of Darkness
"L:Galverg, Cressus, Jochi Open Affinity",Dark Death's Head,Weapon,Staff,UndeadCaster,60,15,-10,,Dark ,10,Death,,20,Very Rare,84960,Expanse,,,,,,,,Dark Death's Head
L:High Tourney,Tidal Guard,Armor,Armor,Murmillo,79,,6,-12,Water ,16,,,20,Unique,145200,Imperia,,,,Classspecific,,,,Water Tidal Guard
L:High Tourney,Heavy Scutum,Shield,Shield,Centurion,311,-5,15,,,,,,21,Unique,10080,Imperia,,,,Classspecific,,,,Heavy Scutum
L:High Tourney,Ramshead Bow,Weapon,Bow,Eiji,60,,-10,,Air ,0,,,20,Unique,14400,Steppes,,,,Animating,Classspecific,,,Air Ramshead Bow
L:History of the Frontier; S:Althaag?,Blindman's Eye,Accessory,Eye,plain,0,99,,,,,,,1,Very Rare,35424,Steppes,,,,,,,,Blindman's Eye
