//name, class, customize info, stats, items, skills, school
NUMUNITS: 2173
"","","","","","",""
"Aaden","BanditAF","4#School_RedYellow1","Statset0","ItemSetNE","skillsetaffE","Fliuch Falcons"
"Aapehty","BeastEarth","","StatSet0","ItemSetEE","skillsetSumEarth","The Fearsome Foursome"
"Abagai","Amazon","2#","StatSet3","ItemSetSU","SkillSetComb","WildernessSteppesOutlaw"
"Abbah","BanditB","3#","StatSet0","ItemSetEA","SkillSetAffA","WildernessExpanseOutlaw"
"Abbelina","BanditAF","1#","StatSet0","ItemSetIW","SkillSetAffW","ImperiaTrikataTribunal"
"Abelkala","DervishF","","StatSet0","ItemSetEF","SkillSetAffF","Mikara Jackals"
"Abnik","ChannelerImp","3#","StatSet2","ItemSetIW","SkillSetAffW","NoSchool"
"Achtuk","Scarab","1#","StatSet0","ItemSetEU","SkillSetComb","WildernessExpanseBeast"
"Acrisius","CitizenImp","2#","StatSetAcrisius","ItemSetIU","qstInvasion",""
"Actaeon","Mongrel","0#Nordagh_01","StatSet0","ItemSetIW","SkillSetAffW","ImperiaCroBeast"
"Actaia","BanditAF","1#","StatSet1","ItemSetIU","SkillSetComb","WildernessImperiaOutlaw"
"Actis","Wolf","1#","StatSet3","ItemSetIU","SkillSetComb","WildernessImperiaBeast"
"Adai","Barbarian","1#Nordagh_05","statset0","ItemSetNA","skillsetcomb","NoSchool"
"Adaidh","Barbarian","2#Nordagh_18","Statset0","ItemSetNA","skillsetaffA","High Krigare School"
"Adcobrovatus","Legionnaire","2#Imperia_03","StatSet0","ItemSetIF","SkillSetComb","ImperiaPirgosLameticus"
"Adilet","UndeadMeleeSteB","","StatSet0","ItemSetSA","SkillSetComb","WildernessSteppesUndead"
"Admetos","BanditB","1#","StatSet4","ItemSetIW","SkillSetComb","ImperiaTribunal"
"Adrastus","Peltast","3#School_BlackRed1","StatSet5","ItemSetNF","skillsetaffF","Shadow of the Empire"
"Adrian","Centurion","4#School_BlackBlue1","StatSet0","ItemSetIE","SkillSetComb","ImperiaPirgosBrutes"
"Aeanes","DarkLegionnaire","","StatSet0","ItemSetID","SkillSetAffD","WildernessExpanseDark"
"Aegia","Peltast","3#School_BlackBlack2","StatSet0","ItemSetIW","SkillSetAffW","Riot Gyhrls"
"Aegidius","Peltast","1#Imperia_03","StatSet0","ItemSetIA","SkillSetComb","ImperiaPirgosGallus"
"Aegir","Wolf","2#","StatSet0","ItemSetIE","SkillSetComb","ImperiaMawLocalRecruits"
"Aera","SamniteImpF","3#","StatSetW","ItemSetIE","SkillSetTrain",""
"Aeris","BeastAirGreater","","StatSet0","ItemSetEA","skillsetgreaterair","Story Characters"
"Aerope","ChannelerImp","5#Imperia_03","StatSet5","ItemSetIE","SkillSetComb","ImperiaPirgosChannelers"
