//Saved School
NAME:	"Daxterius Maximus"
HERO:	"Ursula"
GOLD:	9999



/////////////////////// WEAPONS
INVENTORY:	"Air Black Bow"
INVENTORY:	"Earth Test Bow"
INVENTORY:	"Fire Test Bow"
INVENTORY:	"Water Test Bow"
INVENTORY:	"Air Test Carafe"
INVENTORY:	"Earth Test Carafe"
INVENTORY:	"Fire Test Carafe"
INVENTORY:	"Water Test Carafe"
INVENTORY:	"Air Test Javelin"
INVENTORY:	"Earth Test Javelin"
INVENTORY:	"Fire Test Javelin"
INVENTORY:	"Water Test Javelin"
INVENTORY:	"Air Test Staff"
INVENTORY:	"Earth Test Staff"
INVENTORY:	"Fire Test Staff"
INVENTORY:	"Water Test Staff"
INVENTORY:	"Air Test Sword Heavy"
INVENTORY:	"Earth Test Sword Heavy"
INVENTORY:	"Fire Test Sword Heavy"
INVENTORY:	"Water Test Sword Heavy"
INVENTORY:	"Air Test Sword Medium"
INVENTORY:	"Earth Test Sword Medium"
INVENTORY:	"Fire Test Sword Medium"
INVENTORY:	"Water Test Sword Medium"
INVENTORY:	"Air Test Sword Light"
INVENTORY:	"Earth Test Sword Light"
INVENTORY:	"Fire Test Sword Light"
INVENTORY:	"Water Test Sword Light"
INVENTORY:	"Air Test Twohanded"
INVENTORY:	"Earth Test Twohanded"
INVENTORY:	"Fire Test Twohanded"
INVENTORY:	"Water Test Twohanded"

/////////////////////// ARMOR
INVENTORY:	"Air Test Armor Arcane"
INVENTORY:	"Earth Test Armor Arcane"
INVENTORY:	"Fire Test Armor Arcane"
INVENTORY:	"Water Test Armor Arcane"
INVENTORY:	"Air Test Armor Amazon"  
INVENTORY:	"Earth Test Armor Amazon"
INVENTORY:	"Fire Test Armor Amazon" 
INVENTORY:	"Water Test Armor Amazon"
INVENTORY:	"Air Test Armor Barbarian"  
INVENTORY:	"Earth Test Armor Barbarian"
INVENTORY:	"Fire Test Armor Barbarian" 
INVENTORY:	"Water Test Armor Barbarian"
INVENTORY:	"Air Test Armor Heavy"  
INVENTORY:	"Earth Test Armor Heavy"
INVENTORY:	"Fire Test Armor Heavy" 
INVENTORY:	"Water Test Armor Heavy"
INVENTORY:	"Air Test Armor Light"  
INVENTORY:	"Earth Test Armor Light"
INVENTORY:	"Fire Test Armor Light" 
INVENTORY:	"Water Test Armor Light"
INVENTORY:	"Air Test Armor Medium"  
INVENTORY:	"Earth Test Armor Medium"
INVENTORY:	"Fire Test Armor Medium" 
INVENTORY:	"Water Test Armor Medium"
INVENTORY:	"Air Test Armor Mongrel"  
INVENTORY:	"Earth Test Armor Mongrel"
INVENTORY:	"Fire Test Armor Mongrel" 
INVENTORY:	"Water Test Armor Mongrel"



//////////////////////// HELMETS
INVENTORY:	"Air Test Helmet A"
INVENTORY:	"Earth Test Helmet A"
INVENTORY:	"Fire Test Helmet A"
INVENTORY:	"Water Test Helmet A"
INVENTORY:	"Air Test Helmet B"
INVENTORY:	"Earth Test Helmet B"
INVENTORY:	"Fire Test Helmet B"
INVENTORY:	"Water Test Helmet B"
