// STATSET export Class: Archer
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         3         5        11        10         6         1
MODCORESTATSCOMP:               statset0,         2         7         7        16        14        11         1
MODCORESTATSCOMP:               statset0,         3         9        10        20        18        16         1
MODCORESTATSCOMP:               statset0,         4        12        13        24        24        20         1
MODCORESTATSCOMP:               statset0,         5        15        16        28        29        25         1
MODCORESTATSCOMP:               statset0,         6        17        19        32        34        30         1
MODCORESTATSCOMP:               statset0,         7        21        21        36        40        35         1
MODCORESTATSCOMP:               statset0,         8        24        25        40        45        41         1
MODCORESTATSCOMP:               statset0,         9        28        28        45        50        46         1
MODCORESTATSCOMP:               statset0,        10        31        31        49        55        51         1
MODCORESTATSCOMP:               statset0,        11        33        33        54        60        56         1
MODCORESTATSCOMP:               statset0,        12        36        35        59        66        62         1
MODCORESTATSCOMP:               statset0,        13        40        38        65        70        67         1
MODCORESTATSCOMP:               statset0,        14        44        40        71        74        71         1
MODCORESTATSCOMP:               statset0,        15        47        44        75        78        75         1
MODCORESTATSCOMP:               statset0,        16        50        47        80        84        81         1
MODCORESTATSCOMP:               statset0,        17        53        51        85        89        87         1
MODCORESTATSCOMP:               statset0,        18        57        54        91        95        93         1
MODCORESTATSCOMP:               statset0,        19        60        57        96       100        97         1
MODCORESTATSCOMP:               statset0,        20        64        60       102       105       101         1
MODCORESTATSCOMP:               statset0,        21        68        63       108       110       106         1
MODCORESTATSCOMP:               statset0,        22        71        66       112       116       110         1
MODCORESTATSCOMP:               statset0,        23        74        68       117       122       115         1
MODCORESTATSCOMP:               statset0,        24        76        70       121       126       120         1
MODCORESTATSCOMP:               statset0,        25        78        73       125       131       126         1
MODCORESTATSCOMP:               statset0,        26        80        75       129       135       131         1
MODCORESTATSCOMP:               statset0,        27        83        79       135       140       136         1
MODCORESTATSCOMP:               statset0,        28        85        82       140       145       141         1
MODCORESTATSCOMP:               statset0,        29        88        84       145       150       146         1
MODCORESTATSCOMP:               statset0,        30        90        86       149       155       151         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         5         4        11        10         5         1
MODCORESTATSCOMP:               statset1,         2         8         6        17        16        10         1
MODCORESTATSCOMP:               statset1,         3        11         8        22        21        14         1
MODCORESTATSCOMP:               statset1,         4        14        11        27        26        19         1
