// STATSET export Class: Barbarian
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         5         7         5         5         6         1
MODCORESTATSCOMP:               statset0,         2         9         9         9        10        10         1
MODCORESTATSCOMP:               statset0,         3        14        13        13        15        16         1
MODCORESTATSCOMP:               statset0,         4        17        16        18        20        21         1
MODCORESTATSCOMP:               statset0,         5        22        20        23        25        27         1
MODCORESTATSCOMP:               statset0,         6        25        23        27        31        33         1
MODCORESTATSCOMP:               statset0,         7        29        27        32        37        37         1
MODCORESTATSCOMP:               statset0,         8        32        32        37        43        42         1
MODCORESTATSCOMP:               statset0,         9        35        37        42        49        48         1
MODCORESTATSCOMP:               statset0,        10        37        40        48        54        54         1
MODCORESTATSCOMP:               statset0,        11        41        44        52        58        59         1
MODCORESTATSCOMP:               statset0,        12        45        48        57        63        63         1
MODCORESTATSCOMP:               statset0,        13        48        52        62        68        67         1
MODCORESTATSCOMP:               statset0,        14        52        55        68        72        73         1
MODCORESTATSCOMP:               statset0,        15        56        58        72        76        79         1
MODCORESTATSCOMP:               statset0,        16        61        61        76        81        85         1
MODCORESTATSCOMP:               statset0,        17        65        64        82        87        90         1
MODCORESTATSCOMP:               statset0,        18        69        66        87        92        95         1
MODCORESTATSCOMP:               statset0,        19        72        71        91        98       100         1
MODCORESTATSCOMP:               statset0,        20        75        75        95       103       104         1
MODCORESTATSCOMP:               statset0,        21        79        79        99       107       110         1
MODCORESTATSCOMP:               statset0,        22        81        82       104       112       116         1
MODCORESTATSCOMP:               statset0,        23        84        86       108       117       121         1
MODCORESTATSCOMP:               statset0,        24        87        90       113       122       125         1
MODCORESTATSCOMP:               statset0,        25        90        93       119       128       130         1
MODCORESTATSCOMP:               statset0,        26        94        96       124       132       136         1
MODCORESTATSCOMP:               statset0,        27        98       101       129       137       141         1
MODCORESTATSCOMP:               statset0,        28       103       104       135       142       147         1
MODCORESTATSCOMP:               statset0,        29       106       108       139       148       152         1
MODCORESTATSCOMP:               statset0,        30       109       112       143       154       158         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         4         5         6         5         4         1
MODCORESTATSCOMP:               statset1,         2         7         8        12        10         9         1
MODCORESTATSCOMP:               statset1,         3        10        12        16        15        14         1
MODCORESTATSCOMP:               statset1,         4        13        14        21        20        20         1
MODCORESTATSCOMP:               statset1,         5        17        19        26        26        25         1
MODCORESTATSCOMP:               statset1,         6        21        23        30        31        30         1
MODCORESTATSCOMP:               statset1,         7        23        26        34        36        36         1
MODCORESTATSCOMP:               statset1,         8        26        30        39        41        41         1
MODCORESTATSCOMP:               statset1,         9        30        34        44        46        46         1
MODCORESTATSCOMP:               statset1,        10        35        38        49        52        51         1
MODCORESTATSCOMP:               statset1,        11        37        41        54        57        57         1
MODCORESTATSCOMP:               statset1,        12        40        44        58        62        63         1
MODCORESTATSCOMP:               statset1,        13        42        49        63        67        69         1
MODCORESTATSCOMP:               statset1,        14        47        51        68        73        74         1
MODCORESTATSCOMP:               statset1,        15        51        55        74        78        78         1
MODCORESTATSCOMP:               statset1,        16        56        59        80        83        83         1
MODCORESTATSCOMP:               statset1,        17        58        63        85        88        88         1
MODCORESTATSCOMP:               statset1,        18        62        66        90        93        93         1
MODCORESTATSCOMP:               statset1,        19        65        70        94        98        97         1
MODCORESTATSCOMP:               statset1,        20        69        73       100       103       102         1
MODCORESTATSCOMP:               statset1,        21        72        77       106       108       106         1
MODCORESTATSCOMP:               statset1,        22        76        80       111       112       110         1
MODCORESTATSCOMP:               statset1,        23        78        83       116       117       116         1
