// STATSET export Class: Berserker
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         4         6         6         5        25         1
MODCORESTATSCOMP:               statset0,         2         7         8        12        11        30         1
MODCORESTATSCOMP:               statset0,         3        10        12        16        15        35         1
MODCORESTATSCOMP:               statset0,         4        13        16        21        20        41         1
MODCORESTATSCOMP:               statset0,         5        16        18        26        26        46         1
MODCORESTATSCOMP:               statset0,         6        19        21        31        31        52         1
MODCORESTATSCOMP:               statset0,         7        23        24        36        36        57         1
MODCORESTATSCOMP:               statset0,         8        26        28        42        41        63         1
MODCORESTATSCOMP:               statset0,         9        30        31        48        46        68         1
MODCORESTATSCOMP:               statset0,        10        33        34        53        51        73         1
MODCORESTATSCOMP:               statset0,        11        36        37        57        55        78         1
MODCORESTATSCOMP:               statset0,        12        38        40        62        59        83         1
MODCORESTATSCOMP:               statset0,        13        40        42        67        64        87         1
MODCORESTATSCOMP:               statset0,        14        44        45        73        69        92         1
MODCORESTATSCOMP:               statset0,        15        48        49        78        75        97         1
MODCORESTATSCOMP:               statset0,        16        50        52        83        80       103         1
MODCORESTATSCOMP:               statset0,        17        54        55        87        84       109         1
MODCORESTATSCOMP:               statset0,        18        58        58        92        88       114         1
MODCORESTATSCOMP:               statset0,        19        60        61        96        93       119         1
MODCORESTATSCOMP:               statset0,        20        64        65       102        98       125         1
MODCORESTATSCOMP:               statset0,        21        67        67       107       104       129         1
MODCORESTATSCOMP:               statset0,        22        70        69       112       109       134         1
MODCORESTATSCOMP:               statset0,        23        72        73       118       115       139         1
MODCORESTATSCOMP:               statset0,        24        74        75       124       120       145         1
MODCORESTATSCOMP:               statset0,        25        76        78       130       124       150         1
MODCORESTATSCOMP:               statset0,        26        78        81       135       129       154         1
MODCORESTATSCOMP:               statset0,        27        80        85       140       134       158         1
MODCORESTATSCOMP:               statset0,        28        83        88       144       138       163         1
MODCORESTATSCOMP:               statset0,        29        85        91       150       143       168         1
MODCORESTATSCOMP:               statset0,        30        87        95       154       149       173         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         4         6         4         4        25         1
MODCORESTATSCOMP:               statset1,         2         7         9         9        10        30         1
MODCORESTATSCOMP:               statset1,         3        11        12        13        14        35         1
MODCORESTATSCOMP:               statset1,         4        15        15        18        18        40         1
MODCORESTATSCOMP:               statset1,         5        18        17        24        23        46         1
MODCORESTATSCOMP:               statset1,         6        22        19        28        29        51         1
MODCORESTATSCOMP:               statset1,         7        26        23        32        35        56         1
MODCORESTATSCOMP:               statset1,         8        29        27        38        39        61         1
MODCORESTATSCOMP:               statset1,         9        32        29        43        44        66         1
MODCORESTATSCOMP:               statset1,        10        34        33        49        49        71         1
