// STATSET export Class: BerserkerEnraged
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         3         2         3         2         3     2.00
MODCORESTATSCOMP:               statset0,         2         5         5         6         4         5     2.00
MODCORESTATSCOMP:               statset0,         3         8         7         8         6         7     2.00
MODCORESTATSCOMP:               statset0,         4        11         9        10         9        10     2.00
MODCORESTATSCOMP:               statset0,         5        13        12        12        11        12     2.00
MODCORESTATSCOMP:               statset0,         6        16        14        15        14        14     2.00
MODCORESTATSCOMP:               statset0,         7        18        17        17        17        16     2.00
MODCORESTATSCOMP:               statset0,         8        21        20        20        19        19     2.00
MODCORESTATSCOMP:               statset0,         9        23        22        23        22        22     2.00
MODCORESTATSCOMP:               statset0,        10        26        25        25        25        25     2.00
MODCORESTATSCOMP:               statset0,        11        28        27        28        28        27     2.00
MODCORESTATSCOMP:               statset0,        12        30        29        31        30        30     2.00
MODCORESTATSCOMP:               statset0,        13        33        32        34        32        33     2.00
MODCORESTATSCOMP:               statset0,        14        36        34        36        35        36     2.00
MODCORESTATSCOMP:               statset0,        15        38        37        39        37        38     2.00
MODCORESTATSCOMP:               statset0,        16        40        40        41        40        40     2.00
MODCORESTATSCOMP:               statset0,        17        42        42        44        43        42     2.00
MODCORESTATSCOMP:               statset0,        18        45        45        47        45        45     2.00
MODCORESTATSCOMP:               statset0,        19        47        47        49        48        48     2.00
MODCORESTATSCOMP:               statset0,        20        49        49        51        51        51     2.00


