// STATSET export Class: Citizen
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         5         3         5         5         6         1
MODCORESTATSCOMP:               statset0,         2         8         6        10        10        10         1
MODCORESTATSCOMP:               statset0,         3        12         9        16        15        14         1
MODCORESTATSCOMP:               statset0,         4        15        12        21        21        19         1
MODCORESTATSCOMP:               statset0,         5        18        16        25        25        25         1
MODCORESTATSCOMP:               statset0,         6        22        19        30        29        29         1
MODCORESTATSCOMP:               statset0,         7        26        21        36        34        34         1
MODCORESTATSCOMP:               statset0,         8        29        24        41        39        39         1
MODCORESTATSCOMP:               statset0,         9        32        27        47        44        44         1
MODCORESTATSCOMP:               statset0,        10        36        30        52        50        50         1
MODCORESTATSCOMP:               statset0,        11        40        33        57        55        55         1
MODCORESTATSCOMP:               statset0,        12        43        36        62        60        60         1
MODCORESTATSCOMP:               statset0,        13        47        40        66        66        65         1
MODCORESTATSCOMP:               statset0,        14        49        42        71        71        70         1
MODCORESTATSCOMP:               statset0,        15        53        46        77        75        75         1
MODCORESTATSCOMP:               statset0,        16        56        50        83        80        80         1
MODCORESTATSCOMP:               statset0,        17        58        53        88        86        86         1
MODCORESTATSCOMP:               statset0,        18        60        56        93        91        90         1
MODCORESTATSCOMP:               statset0,        19        62        60        98        96        95         1
MODCORESTATSCOMP:               statset0,        20        66        64       104       100       100         1
MODCORESTATSCOMP:               statset0,        21        69        67       109       104       105         1
MODCORESTATSCOMP:               statset0,        22        72        70       114       109       110         1
MODCORESTATSCOMP:               statset0,        23        75        72       118       113       115         1
MODCORESTATSCOMP:               statset0,        24        77        74       123       118       120         1
MODCORESTATSCOMP:               statset0,        25        80        77       129       122       125         1
MODCORESTATSCOMP:               statset0,        26        83        80       135       128       130         1
MODCORESTATSCOMP:               statset0,        27        86        84       139       133       134         1
MODCORESTATSCOMP:               statset0,        28        89        87       143       139       138         1
MODCORESTATSCOMP:               statset0,        29        92        90       148       144       142         1
MODCORESTATSCOMP:               statset0,        30        95        93       154       149       147         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         5         3         5         5         5         1
MODCORESTATSCOMP:               statset1,         2         9         6        11        10        11         1
MODCORESTATSCOMP:               statset1,         3        11        10        16        16        16         1
MODCORESTATSCOMP:               statset1,         4        13        12        22        21        21         1
MODCORESTATSCOMP:               statset1,         5        17        14        27        26        26         1
MODCORESTATSCOMP:               statset1,         6        20        17        33        32        32         1
MODCORESTATSCOMP:               statset1,         7        23        19        37        37        37         1
MODCORESTATSCOMP:               statset1,         8        25        23        42        41        43         1
MODCORESTATSCOMP:               statset1,         9        29        26        48        46        48         1
MODCORESTATSCOMP:               statset1,        10        33        29        52        51        54         1
MODCORESTATSCOMP:               statset1,        11        37        32        58        55        59         1
MODCORESTATSCOMP:               statset1,        12        39        35        63        60        65         1
MODCORESTATSCOMP:               statset1,        13        43        38        68        65        70         1
MODCORESTATSCOMP:               statset1,        14        46        42        74        69        75         1
MODCORESTATSCOMP:               statset1,        15        48        45        79        74        81         1
MODCORESTATSCOMP:               statset1,        16        51        48        83        78        87         1
MODCORESTATSCOMP:               statset1,        17        53        51        88        83        93         1
MODCORESTATSCOMP:               statset1,        18        56        53        94        87        99         1
MODCORESTATSCOMP:               statset1,        19        59        56        98        92       104         1
MODCORESTATSCOMP:               statset1,        20        63        59       103        98       109         1
MODCORESTATSCOMP:               statset1,        21        65        61       108       102       113         1
MODCORESTATSCOMP:               statset1,        22        69        64       113       108       119         1
MODCORESTATSCOMP:               statset1,        23        72        66       119       113       125         1
MODCORESTATSCOMP:               statset1,        24        74        70       124       119       129         1
MODCORESTATSCOMP:               statset1,        25        77        74       130       124       135         1
MODCORESTATSCOMP:               statset1,        26        81        77       135       129       140         1
MODCORESTATSCOMP:               statset1,        27        84        80       140       135       145         1
MODCORESTATSCOMP:               statset1,        28        88        83       146       140       149         1
MODCORESTATSCOMP:               statset1,        29        91        86       152       146       154         1
MODCORESTATSCOMP:               statset1,        30        93        90       157       151       160         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset2,         1         4         4         6         5         6         1
MODCORESTATSCOMP:               statset2,         2         7         7        12         9        11         1
MODCORESTATSCOMP:               statset2,         3        10        10        17        13        16         1
MODCORESTATSCOMP:               statset2,         4        13        13        22        18        22         1
MODCORESTATSCOMP:               statset2,         5        15        17        27        23        27         1
MODCORESTATSCOMP:               statset2,         6        19        20        32        29        33         1
MODCORESTATSCOMP:               statset2,         7        22        22        36        34        38         1
MODCORESTATSCOMP:               statset2,         8        25        25        41        39        43         1
MODCORESTATSCOMP:               statset2,         9        28        27        46        44        49         1
MODCORESTATSCOMP:               statset2,        10        31        31        51        50        54         1
MODCORESTATSCOMP:               statset2,        11        34        33        56        54        59         1
MODCORESTATSCOMP:               statset2,        12        37        36        60        59        64         1
MODCORESTATSCOMP:               statset2,        13        40        38        64        65        70         1
