// STATSET export Class: DarkLegionnaire
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         5         5         4         5         4         1
MODCORESTATSCOMP:               statset0,         2         8         7         8        11         9         1
MODCORESTATSCOMP:               statset0,         3        12        10        12        16        14         1
MODCORESTATSCOMP:               statset0,         4        16        14        16        22        19         1
MODCORESTATSCOMP:               statset0,         5        21        17        21        28        25         1
MODCORESTATSCOMP:               statset0,         6        25        20        25        34        30         1
MODCORESTATSCOMP:               statset0,         7        28        24        31        40        35         1
MODCORESTATSCOMP:               statset0,         8        32        28        37        45        41         1
MODCORESTATSCOMP:               statset0,         9        35        31        41        50        46         1
MODCORESTATSCOMP:               statset0,        10        38        35        46        55        51         1
MODCORESTATSCOMP:               statset0,        11        42        40        51        61        55         1
MODCORESTATSCOMP:               statset0,        12        45        42        55        65        61         1
MODCORESTATSCOMP:               statset0,        13        48        46        59        71        67         1
MODCORESTATSCOMP:               statset0,        14        51        49        64        76        72         1
MODCORESTATSCOMP:               statset0,        15        53        52        68        80        78         1
MODCORESTATSCOMP:               statset0,        16        57        55        73        85        83         1
MODCORESTATSCOMP:               statset0,        17        61        59        78        90        89         1
MODCORESTATSCOMP:               statset0,        18        63        63        82        95        94         1
MODCORESTATSCOMP:               statset0,        19        67        67        88       101        99         1
MODCORESTATSCOMP:               statset0,        20        71        71        92       106       105         1
MODCORESTATSCOMP:               statset0,        21        74        76        96       111       109         1
MODCORESTATSCOMP:               statset0,        22        77        79       100       116       114         1
MODCORESTATSCOMP:               statset0,        23        79        83       105       122       120         1
MODCORESTATSCOMP:               statset0,        24        82        86       110       126       124         1
MODCORESTATSCOMP:               statset0,        25        86        90       114       132       130         1
MODCORESTATSCOMP:               statset0,        26        88        93       118       137       134         1
MODCORESTATSCOMP:               statset0,        27        93        96       123       141       139         1
MODCORESTATSCOMP:               statset0,        28        96       100       128       146       144         1
MODCORESTATSCOMP:               statset0,        29       100       104       134       150       150         1
MODCORESTATSCOMP:               statset0,        30       104       108       140       156       154         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         4         3         5         4         4         1
MODCORESTATSCOMP:               statset1,         2         8         6        10         9         9         1
MODCORESTATSCOMP:               statset1,         3        12         9        14        13        14         1
MODCORESTATSCOMP:               statset1,         4        15        14        19        17        19         1
MODCORESTATSCOMP:               statset1,         5        19        16        24        23        24         1
MODCORESTATSCOMP:               statset1,         6        22        20        28        28        29         1
MODCORESTATSCOMP:               statset1,         7        26        23        33        33        34         1
MODCORESTATSCOMP:               statset1,         8        29        27        39        38        39         1
MODCORESTATSCOMP:               statset1,         9        33        30        45        42        44         1
MODCORESTATSCOMP:               statset1,        10        38        33        50        47        49         1
MODCORESTATSCOMP:               statset1,        11        42        37        55        53        54         1
MODCORESTATSCOMP:               statset1,        12        45        40        59        57        58         1
MODCORESTATSCOMP:               statset1,        13        48        44        63        62        63         1
MODCORESTATSCOMP:               statset1,        14        51        47        69        67        68         1
MODCORESTATSCOMP:               statset1,        15        54        49        74        72        72         1
MODCORESTATSCOMP:               statset1,        16        57        52        79        77        76         1
MODCORESTATSCOMP:               statset1,        17        60        55        85        83        81         1
MODCORESTATSCOMP:               statset1,        18        62        58        91        89        86         1
MODCORESTATSCOMP:               statset1,        19        64        63        95        95        92         1
MODCORESTATSCOMP:               statset1,        20        68        68       100       101        98         1
MODCORESTATSCOMP:               statset1,        21        71        71       106       105       103         1
MODCORESTATSCOMP:               statset1,        22        75        75       111       110       108         1
MODCORESTATSCOMP:               statset1,        23        78        80       116       115       114         1
MODCORESTATSCOMP:               statset1,        24        83        83       120       120       118         1
MODCORESTATSCOMP:               statset1,        25        87        87       124       126       123         1
MODCORESTATSCOMP:               statset1,        26        90        90       129       130       128         1
MODCORESTATSCOMP:               statset1,        27        94        93       135       135       133         1
MODCORESTATSCOMP:               statset1,        28        98        95       140       141       137         1
MODCORESTATSCOMP:               statset1,        29       102       100       145       145       142         1
MODCORESTATSCOMP:               statset1,        30       106       105       150       151       148         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset2,         1         4         5         4         5         6         1
MODCORESTATSCOMP:               statset2,         2         6         7         9        10        12         1
MODCORESTATSCOMP:               statset2,         3        10        11        14        15        17         1
MODCORESTATSCOMP:               statset2,         4        15        15        20        19        22         1
MODCORESTATSCOMP:               statset2,         5        18        18        24        24        28         1
MODCORESTATSCOMP:               statset2,         6        20        21        28        28        34         1
MODCORESTATSCOMP:               statset2,         7        25        25        33        32        38         1
MODCORESTATSCOMP:               statset2,         8        29        30        37        38        43         1
MODCORESTATSCOMP:               statset2,         9        32        33        42        42        49         1
MODCORESTATSCOMP:               statset2,        10        35        37        47        47        54         1
MODCORESTATSCOMP:               statset2,        11        38        40        51        51        59         1
MODCORESTATSCOMP:               statset2,        12        42        44        57        56        64         1
MODCORESTATSCOMP:               statset2,        13        46        47        62        62        69         1
MODCORESTATSCOMP:               statset2,        14        49        51        68        66        75         1
MODCORESTATSCOMP:               statset2,        15        52        55        74        71        80         1
MODCORESTATSCOMP:               statset2,        16        56        59        79        77        86         1
MODCORESTATSCOMP:               statset2,        17        58        62        84        82        90         1
MODCORESTATSCOMP:               statset2,        18        61        65        89        88        94         1
MODCORESTATSCOMP:               statset2,        19        64        69        93        93       100         1
MODCORESTATSCOMP:               statset2,        20        69        72        98        98       105         1
MODCORESTATSCOMP:               statset2,        21        71        76       103       103       110         1
MODCORESTATSCOMP:               statset2,        22        73        80       108       109       115         1
MODCORESTATSCOMP:               statset2,        23        77        84       112       114       120         1
MODCORESTATSCOMP:               statset2,        24        80        89       117       119       125         1
MODCORESTATSCOMP:               statset2,        25        84        91       123       125       129         1
MODCORESTATSCOMP:               statset2,        26        87        94       128       129       134         1
MODCORESTATSCOMP:               statset2,        27        90        98       132       134       140         1
MODCORESTATSCOMP:               statset2,        28        94       102       138       139       144         1
MODCORESTATSCOMP:               statset2,        29        98       105       143       144       148         1
MODCORESTATSCOMP:               statset2,        30       101       109       149       149       153         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset3,         1         5         5         6         6         5         1
MODCORESTATSCOMP:               statset3,         2         7         7        11        11        11         1
MODCORESTATSCOMP:               statset3,         3        11        10        16        15        15         1
MODCORESTATSCOMP:               statset3,         4        13        13        22        21        20         1
MODCORESTATSCOMP:               statset3,         5        16        16        27        27        26         1
MODCORESTATSCOMP:               statset3,         6        20        18        32        32        32         1
MODCORESTATSCOMP:               statset3,         7        23        20        38        38        38         1
MODCORESTATSCOMP:               statset3,         8        26        23        42        43        42         1
MODCORESTATSCOMP:               statset3,         9        30        26        48        47        47         1
MODCORESTATSCOMP:               statset3,        10        35        29        53        53        52         1
MODCORESTATSCOMP:               statset3,        11        39        32        58        57        57         1
MODCORESTATSCOMP:               statset3,        12        41        34        64        62        61         1
MODCORESTATSCOMP:               statset3,        13        45        39        68        68        65         1
MODCORESTATSCOMP:               statset3,        14        48        42        73        74        70         1
MODCORESTATSCOMP:               statset3,        15        50        45        79        79        75         1
MODCORESTATSCOMP:               statset3,        16        52        49        83        83        79         1
MODCORESTATSCOMP:               statset3,        17        57        53        88        88        84         1
MODCORESTATSCOMP:               statset3,        18        60        56        93        92        89         1
MODCORESTATSCOMP:               statset3,        19        63        61        98        97        93         1
MODCORESTATSCOMP:               statset3,        20        67        63       102       101        98         1
MODCORESTATSCOMP:               statset3,        21        70        66       106       106       103         1
MODCORESTATSCOMP:               statset3,        22        75        70       112       111       107         1
MODCORESTATSCOMP:               statset3,        23        80        75       118       117       111         1
MODCORESTATSCOMP:               statset3,        24        83        79       123       122       116         1
MODCORESTATSCOMP:               statset3,        25        87        84       129       127       121         1
MODCORESTATSCOMP:               statset3,        26        91        87       135       131       127         1
MODCORESTATSCOMP:               statset3,        27        95        90       141       136       132         1
MODCORESTATSCOMP:               statset3,        28        98        95       146       141       136         1
MODCORESTATSCOMP:               statset3,        29       102        99       150       147       141         1
MODCORESTATSCOMP:               statset3,        30       106       103       155       152       147         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset4,         1         3         3         4         4         4         1
MODCORESTATSCOMP:               statset4,         2         5         5         8         8         8         1
MODCORESTATSCOMP:               statset4,         3         7         7        12        12        12         1
MODCORESTATSCOMP:               statset4,         4         9         9        16        16        16         1
