// STATSET export Class: Dervish
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         5         4         9        10        25         1
MODCORESTATSCOMP:               statset0,         2         8         8        15        14        30         1
MODCORESTATSCOMP:               statset0,         3        12        11        20        19        36         1
MODCORESTATSCOMP:               statset0,         4        15        14        26        24        42         1
MODCORESTATSCOMP:               statset0,         5        18        18        31        30        48         1
MODCORESTATSCOMP:               statset0,         6        20        21        36        35        53         1
MODCORESTATSCOMP:               statset0,         7        23        25        41        40        58         1
MODCORESTATSCOMP:               statset0,         8        27        28        46        44        63         1
MODCORESTATSCOMP:               statset0,         9        30        32        52        49        68         1
MODCORESTATSCOMP:               statset0,        10        34        34        57        53        72         1
MODCORESTATSCOMP:               statset0,        11        37        37        61        58        77         1
MODCORESTATSCOMP:               statset0,        12        39        39        65        62        82         1
MODCORESTATSCOMP:               statset0,        13        42        42        71        68        87         1
MODCORESTATSCOMP:               statset0,        14        44        45        75        74        92         1
MODCORESTATSCOMP:               statset0,        15        47        48        80        79        98         1
MODCORESTATSCOMP:               statset0,        16        51        51        86        83       103         1
MODCORESTATSCOMP:               statset0,        17        54        53        92        88       108         1
MODCORESTATSCOMP:               statset0,        18        58        57        96        93       112         1
MODCORESTATSCOMP:               statset0,        19        61        61       101        99       117         1
MODCORESTATSCOMP:               statset0,        20        65        64       106       104       122         1
MODCORESTATSCOMP:               statset0,        21        68        67       110       109       126         1
MODCORESTATSCOMP:               statset0,        22        70        70       114       113       132         1
MODCORESTATSCOMP:               statset0,        23        72        73       119       119       137         1
MODCORESTATSCOMP:               statset0,        24        74        77       125       123       141         1
MODCORESTATSCOMP:               statset0,        25        76        80       129       127       146         1
MODCORESTATSCOMP:               statset0,        26        80        84       133       132       150         1
MODCORESTATSCOMP:               statset0,        27        84        86       139       138       155         1
MODCORESTATSCOMP:               statset0,        28        87        88       143       144       160         1
MODCORESTATSCOMP:               statset0,        29        90        91       149       148       164         1
MODCORESTATSCOMP:               statset0,        30        93        94       154       153       170         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         5         5         9        10        24         1
MODCORESTATSCOMP:               statset1,         2         8         8        15        16        30         1
MODCORESTATSCOMP:               statset1,         3        11        12        20        20        35         1
MODCORESTATSCOMP:               statset1,         4        15        15        24        25        40         1
MODCORESTATSCOMP:               statset1,         5        18        18        30        30        46         1
MODCORESTATSCOMP:               statset1,         6        21        22        35        34        50         1
MODCORESTATSCOMP:               statset1,         7        24        24        40        39        55         1
MODCORESTATSCOMP:               statset1,         8        27        27        45        44        61         1
MODCORESTATSCOMP:               statset1,         9        30        29        50        50        66         1
MODCORESTATSCOMP:               statset1,        10        33        31        56        56        71         1
MODCORESTATSCOMP:               statset1,        11        35        34        62        61        76         1
MODCORESTATSCOMP:               statset1,        12        38        38        66        65        80         1
MODCORESTATSCOMP:               statset1,        13        41        40        70        71        85         1
MODCORESTATSCOMP:               statset1,        14        44        43        76        76        89         1
MODCORESTATSCOMP:               statset1,        15        46        46        80        82        95         1
MODCORESTATSCOMP:               statset1,        16        48        50        85        87        99         1
MODCORESTATSCOMP:               statset1,        17        52        54        91        92       104         1
MODCORESTATSCOMP:               statset1,        18        56        57        95        98       108         1
MODCORESTATSCOMP:               statset1,        19        59        60        99       103       112         1
MODCORESTATSCOMP:               statset1,        20        63        63       104       108       117         1
MODCORESTATSCOMP:               statset1,        21        65        66       108       114       122         1
MODCORESTATSCOMP:               statset1,        22        69        69       112       118       128         1
MODCORESTATSCOMP:               statset1,        23        72        72       116       122       133         1
MODCORESTATSCOMP:               statset1,        24        75        75       120       128       138         1
MODCORESTATSCOMP:               statset1,        25        77        78       124       133       143         1
MODCORESTATSCOMP:               statset1,        26        80        81       129       138       149         1
MODCORESTATSCOMP:               statset1,        27        82        84       135       143       154         1
MODCORESTATSCOMP:               statset1,        28        86        87       140       147       160         1
MODCORESTATSCOMP:               statset1,        29        90        90       146       152       165         1
MODCORESTATSCOMP:               statset1,        30        93        94       152       157       170         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset2,         1         3         4        10        10        25         1
MODCORESTATSCOMP:               statset2,         2         7         8        14        16        29         1
MODCORESTATSCOMP:               statset2,         3        10        11        20        22        35         1
MODCORESTATSCOMP:               statset2,         4        14        13        24        27        40         1
MODCORESTATSCOMP:               statset2,         5        17        16        29        32        45         1
MODCORESTATSCOMP:               statset2,         6        20        20        35        37        50         1
MODCORESTATSCOMP:               statset2,         7        23        23        39        41        55         1
MODCORESTATSCOMP:               statset2,         8        25        25        44        46        61         1
MODCORESTATSCOMP:               statset2,         9        27        28        48        51        65         1
MODCORESTATSCOMP:               statset2,        10        30        31        53        55        70         1
MODCORESTATSCOMP:               statset2,        11        32        34        57        60        76         1
MODCORESTATSCOMP:               statset2,        12        36        37        63        64        81         1
MODCORESTATSCOMP:               statset2,        13        38        39        69        69        86         1
MODCORESTATSCOMP:               statset2,        14        41        41        74        73        91         1
MODCORESTATSCOMP:               statset2,        15        45        44        79        77        96         1
MODCORESTATSCOMP:               statset2,        16        47        48        83        82       100         1
MODCORESTATSCOMP:               statset2,        17        50        50        89        87       106         1
