// STATSET export Class: Eiji
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         5         4        16        11        15         1
MODCORESTATSCOMP:               statset0,         2         7         7        21        16        19         1
MODCORESTATSCOMP:               statset0,         3        10        10        26        20        24         1
MODCORESTATSCOMP:               statset0,         4        13        13        30        26        29         1
MODCORESTATSCOMP:               statset0,         5        16        17        34        30        35         1
MODCORESTATSCOMP:               statset0,         6        19        21        38        34        41         1
MODCORESTATSCOMP:               statset0,         7        22        24        43        39        46         1
MODCORESTATSCOMP:               statset0,         8        25        27        48        45        51         1
MODCORESTATSCOMP:               statset0,         9        27        29        54        49        55         1
MODCORESTATSCOMP:               statset0,        10        30        32        58        54        60         1
MODCORESTATSCOMP:               statset0,        11        34        36        63        59        66         1
MODCORESTATSCOMP:               statset0,        12        38        38        67        63        72         1
MODCORESTATSCOMP:               statset0,        13        42        41        71        69        76         1
MODCORESTATSCOMP:               statset0,        14        45        43        76        74        81         1
MODCORESTATSCOMP:               statset0,        15        47        46        82        78        86         1
MODCORESTATSCOMP:               statset0,        16        51        49        88        84        92         1
MODCORESTATSCOMP:               statset0,        17        54        53        94        90        98         1
MODCORESTATSCOMP:               statset0,        18        56        56        99        95       104         1
MODCORESTATSCOMP:               statset0,        19        59        59       103       101       110         1
MODCORESTATSCOMP:               statset0,        20        62        61       108       106       116         1
MODCORESTATSCOMP:               statset0,        21        65        65       112       110       122         1
MODCORESTATSCOMP:               statset0,        22        68        69       118       115       126         1
MODCORESTATSCOMP:               statset0,        23        71        71       124       120       131         1
MODCORESTATSCOMP:               statset0,        24        74        73       130       126       136         1
MODCORESTATSCOMP:               statset0,        25        76        75       135       132       142         1
MODCORESTATSCOMP:               statset0,        26        80        78       140       136       147         1
MODCORESTATSCOMP:               statset0,        27        83        82       145       141       152         1
MODCORESTATSCOMP:               statset0,        28        85        86       150       146       156         1
MODCORESTATSCOMP:               statset0,        29        87        89       155       152       162         1
MODCORESTATSCOMP:               statset0,        30        91        93       160       156       166         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         4         6        16        13        15         1
MODCORESTATSCOMP:               statset1,         2         6         9        20        18        20         1
MODCORESTATSCOMP:               statset1,         3         9        12        25        23        26         1
MODCORESTATSCOMP:               statset1,         4        13        16        29        27        31         1
MODCORESTATSCOMP:               statset1,         5        15        20        35        32        36         1
MODCORESTATSCOMP:               statset1,         6        18        24        40        38        41         1
MODCORESTATSCOMP:               statset1,         7        21        28        44        44        46         1
MODCORESTATSCOMP:               statset1,         8        24        31        49        49        51         1
MODCORESTATSCOMP:               statset1,         9        27        34        54        55        56         1
MODCORESTATSCOMP:               statset1,        10        30        37        58        59        62         1
MODCORESTATSCOMP:               statset1,        11        33        40        63        64        68         1
MODCORESTATSCOMP:               statset1,        12        36        43        67        70        73         1
MODCORESTATSCOMP:               statset1,        13        39        47        72        75        79         1
MODCORESTATSCOMP:               statset1,        14        43        50        77        80        85         1
MODCORESTATSCOMP:               statset1,        15        46        52        81        86        90         1
MODCORESTATSCOMP:               statset1,        16        50        56        86        92        96         1
MODCORESTATSCOMP:               statset1,        17        54        59        92        98       101         1
MODCORESTATSCOMP:               statset1,        18        57        61        96       104       107         1
MODCORESTATSCOMP:               statset1,        19        61        63       100       110       113         1
MODCORESTATSCOMP:               statset1,        20        64        66       105       115       118         1
MODCORESTATSCOMP:               statset1,        21        67        69       111       121       123         1
MODCORESTATSCOMP:               statset1,        22        71        72       117       125       128         1
MODCORESTATSCOMP:               statset1,        23        75        75       121       129       132         1
