// STATSET export Class: Galdr
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         4         5         5        16         6         1
MODCORESTATSCOMP:               statset0,         2         7         8        11        21        11         1
MODCORESTATSCOMP:               statset0,         3        10        11        15        25        17         1
MODCORESTATSCOMP:               statset0,         4        14        14        19        30        22         1
MODCORESTATSCOMP:               statset0,         5        17        18        24        36        27         1
MODCORESTATSCOMP:               statset0,         6        19        20        30        41        33         1
MODCORESTATSCOMP:               statset0,         7        22        22        34        46        39         1
MODCORESTATSCOMP:               statset0,         8        26        25        39        50        44         1
MODCORESTATSCOMP:               statset0,         9        29        28        44        54        49         1
MODCORESTATSCOMP:               statset0,        10        33        31        49        60        55         1
MODCORESTATSCOMP:               statset0,        11        36        35        55        66        61         1
MODCORESTATSCOMP:               statset0,        12        39        38        60        70        66         1
MODCORESTATSCOMP:               statset0,        13        42        41        65        74        72         1
MODCORESTATSCOMP:               statset0,        14        44        45        70        80        76         1
MODCORESTATSCOMP:               statset0,        15        47        48        75        84        82         1
MODCORESTATSCOMP:               statset0,        16        51        50        80        90        87         1
MODCORESTATSCOMP:               statset0,        17        55        53        85        94        91         1
MODCORESTATSCOMP:               statset0,        18        58        57        91        99        95         1
MODCORESTATSCOMP:               statset0,        19        61        60        95       104        99         1
MODCORESTATSCOMP:               statset0,        20        64        63       100       110       105         1
MODCORESTATSCOMP:               statset0,        21        68        65       105       114       110         1
MODCORESTATSCOMP:               statset0,        22        71        67       110       120       115         1
MODCORESTATSCOMP:               statset0,        23        74        70       115       126       120         1
MODCORESTATSCOMP:               statset0,        24        76        72       120       132       124         1
MODCORESTATSCOMP:               statset0,        25        79        75       125       136       129         1
MODCORESTATSCOMP:               statset0,        26        83        77       130       141       134         1
MODCORESTATSCOMP:               statset0,        27        87        81       135       146       139         1
MODCORESTATSCOMP:               statset0,        28        89        84       139       151       144         1
MODCORESTATSCOMP:               statset0,        29        91        88       143       156       149         1
MODCORESTATSCOMP:               statset0,        30        94        91       147       162       154         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         5         5         5        15         6         1
MODCORESTATSCOMP:               statset1,         2         8         8        10        19        12         1
MODCORESTATSCOMP:               statset1,         3        12        11        16        23        16         1
MODCORESTATSCOMP:               statset1,         4        15        15        21        28        20         1
MODCORESTATSCOMP:               statset1,         5        19        18        26        33        26         1
MODCORESTATSCOMP:               statset1,         6        22        21        31        38        31         1
MODCORESTATSCOMP:               statset1,         7        26        25        37        44        36         1
MODCORESTATSCOMP:               statset1,         8        28        28        42        50        40         1
MODCORESTATSCOMP:               statset1,         9        31        30        48        54        46         1
MODCORESTATSCOMP:               statset1,        10        35        33        53        59        52         1
MODCORESTATSCOMP:               statset1,        11        37        36        59        64        58         1
MODCORESTATSCOMP:               statset1,        12        41        38        64        70        62         1
MODCORESTATSCOMP:               statset1,        13        44        41        70        75        68         1
MODCORESTATSCOMP:               statset1,        14        47        44        75        80        73         1
