// STATSET export Class: Legionnaire
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         4         8         5         5         5         1
MODCORESTATSCOMP:               statset0,         2         7        10         9        11         9         1
MODCORESTATSCOMP:               statset0,         3        10        15        15        15        13         1
MODCORESTATSCOMP:               statset0,         4        12        19        21        19        17         1
MODCORESTATSCOMP:               statset0,         5        14        24        25        23        21         1
MODCORESTATSCOMP:               statset0,         6        18        29        29        29        26         1
MODCORESTATSCOMP:               statset0,         7        21        32        35        35        31         1
MODCORESTATSCOMP:               statset0,         8        25        36        39        40        36         1
MODCORESTATSCOMP:               statset0,         9        30        40        44        45        41         1
MODCORESTATSCOMP:               statset0,        10        34        43        49        50        45         1
MODCORESTATSCOMP:               statset0,        11        37        46        54        54        50         1
MODCORESTATSCOMP:               statset0,        12        39        50        60        59        56         1
MODCORESTATSCOMP:               statset0,        13        43        54        64        63        61         1
MODCORESTATSCOMP:               statset0,        14        48        58        68        68        65         1
MODCORESTATSCOMP:               statset0,        15        52        62        74        72        70         1
MODCORESTATSCOMP:               statset0,        16        55        65        79        76        76         1
MODCORESTATSCOMP:               statset0,        17        58        68        84        81        81         1
MODCORESTATSCOMP:               statset0,        18        60        71        88        85        86         1
MODCORESTATSCOMP:               statset0,        19        64        75        94        90        92         1
MODCORESTATSCOMP:               statset0,        20        66        78       100        94        98         1
MODCORESTATSCOMP:               statset0,        21        70        82       105        99       103         1
MODCORESTATSCOMP:               statset0,        22        73        84       110       105       108         1
MODCORESTATSCOMP:               statset0,        23        76        86       114       109       114         1
MODCORESTATSCOMP:               statset0,        24        80        89       120       114       119         1
MODCORESTATSCOMP:               statset0,        25        83        93       124       120       125         1
MODCORESTATSCOMP:               statset0,        26        87        97       129       125       130         1
MODCORESTATSCOMP:               statset0,        27        89       101       135       129       135         1
MODCORESTATSCOMP:               statset0,        28        94       103       140       135       139         1
MODCORESTATSCOMP:               statset0,        29        97       105       145       139       144         1
MODCORESTATSCOMP:               statset0,        30       100       110       150       143       148         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         5         5         6         6         5         1
MODCORESTATSCOMP:               statset1,         2         9         8        12        10        11         1
MODCORESTATSCOMP:               statset1,         3        13        11        16        14        16         1
MODCORESTATSCOMP:               statset1,         4        17        14        21        19        22         1
MODCORESTATSCOMP:               statset1,         5        20        18        25        25        26         1
MODCORESTATSCOMP:               statset1,         6        23        21        30        31        32         1
MODCORESTATSCOMP:               statset1,         7        27        25        35        35        37         1
MODCORESTATSCOMP:               statset1,         8        30        28        41        41        42         1
MODCORESTATSCOMP:               statset1,         9        35        30        46        46        47         1
MODCORESTATSCOMP:               statset1,        10        40        34        51        52        52         1
MODCORESTATSCOMP:               statset1,        11        44        37        57        56        56         1
MODCORESTATSCOMP:               statset1,        12        48        41        62        62        61         1
MODCORESTATSCOMP:               statset1,        13        52        45        68        67        66         1
MODCORESTATSCOMP:               statset1,        14        55        48        73        72        71         1
MODCORESTATSCOMP:               statset1,        15        58        50        78        77        76         1
MODCORESTATSCOMP:               statset1,        16        62        52        83        82        82         1
MODCORESTATSCOMP:               statset1,        17        66        56        87        87        87         1
MODCORESTATSCOMP:               statset1,        18        69        58        91        92        93         1
MODCORESTATSCOMP:               statset1,        19        72        63        96        96        99         1
MODCORESTATSCOMP:               statset1,        20        77        66       101       101       104         1
MODCORESTATSCOMP:               statset1,        21        80        70       107       107       110         1
MODCORESTATSCOMP:               statset1,        22        82        72       112       111       114         1
MODCORESTATSCOMP:               statset1,        23        84        77       116       116       119         1
MODCORESTATSCOMP:               statset1,        24        87        79       121       120       124         1
MODCORESTATSCOMP:               statset1,        25        92        82       127       124       129         1
MODCORESTATSCOMP:               statset1,        26        95        86       131       130       133         1
MODCORESTATSCOMP:               statset1,        27       100        90       135       135       138         1
MODCORESTATSCOMP:               statset1,        28       104        93       140       140       142         1
MODCORESTATSCOMP:               statset1,        29       108        95       145       145       147         1
MODCORESTATSCOMP:               statset1,        30       111        98       151       150       152         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset2,         1         3         7         5         4         4         1
MODCORESTATSCOMP:               statset2,         2         6         9         9         9         9         1
MODCORESTATSCOMP:               statset2,         3        10        12        15        13        14         1
MODCORESTATSCOMP:               statset2,         4        14        14        21        18        19         1
MODCORESTATSCOMP:               statset2,         5        16        16        26        24        23         1
MODCORESTATSCOMP:               statset2,         6        19        21        31        30        29         1
MODCORESTATSCOMP:               statset2,         7        23        25        36        35        34         1
MODCORESTATSCOMP:               statset2,         8        28        28        40        39        40         1
MODCORESTATSCOMP:               statset2,         9        32        32        44        43        44         1
MODCORESTATSCOMP:               statset2,        10        37        35        49        48        50         1
