// STATSET export Class: Legionnaire
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               StatSetDummy,         1         3         6         4        0         0 1
MODCORESTATSCOMP:               StatSetDummy,         2         6         8         8         0         0         1
MODCORESTATSCOMP:               StatSetDummy,         3         9        12        13        0        0         1
MODCORESTATSCOMP:               StatSetDummy,         4        13        15        17       0        0         1
MODCORESTATSCOMP:               StatSetDummy,         5        17        19        22        0        0         1
MODCORESTATSCOMP:               StatSetDummy,         6        20        23        27        0        0        1
MODCORESTATSCOMP:               StatSetDummy,         7        23        28        32        0        0         1
MODCORESTATSCOMP:               StatSetDummy,         8        27        31        37        0       0         1
MODCORESTATSCOMP:               StatSetDummy,         9        29        34        42        0        0         1
MODCORESTATSCOMP:               StatSetDummy,        10        32        37        47        0        0         1
MODCORESTATSCOMP:               StatSetDummy,        11        37        40        53        0        0         1
MODCORESTATSCOMP:               StatSetDummy,        12        40        43        57       0        0         1
MODCORESTATSCOMP:               StatSetDummy,        13        43        45        62        0        0         1
MODCORESTATSCOMP:               StatSetDummy,        14        46        48        68        0        0         1
MODCORESTATSCOMP:               StatSetDummy,        15        48        52        73        0        0         1
MODCORESTATSCOMP:               StatSetDummy,        16        52        57        77        0        0         1
MODCORESTATSCOMP:               StatSetDummy,        17        56        62        82        0        0         1
MODCORESTATSCOMP:               StatSetDummy,        18        60        65        86        0        0         1
MODCORESTATSCOMP:               StatSetDummy,        19        64        70        92        0        0         1
MODCORESTATSCOMP:               StatSetDummy,        20        68        72        98       0       0         1

// STATSET export Class: Legionnaire
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statsetw,         1         3         5         5         4         4         1
MODCORESTATSCOMP:               statsetw,         2         9         9        11        10         9         1
MODCORESTATSCOMP:               statsetw,         3        13        13        16        16        14         1
MODCORESTATSCOMP:               statsetw,         4        16        16        21        20        20         1
MODCORESTATSCOMP:               statsetw,         5        19        19        26        25        26         1
MODCORESTATSCOMP:               statsetw,         6        22        22        31        30        31         1
MODCORESTATSCOMP:               statsetw,         7        26        27        36        36        36         1
MODCORESTATSCOMP:               statsetw,         8        28        30        41        40        40         1
MODCORESTATSCOMP:               statsetw,         9        31        34        46        45        45         1
MODCORESTATSCOMP:               statsetw,        10        36        38        50        51        50         1
MODCORESTATSCOMP:               statsetw,        11        41        43        55        55        55         1
MODCORESTATSCOMP:               statsetw,        12        45        48        60        60        61         1
MODCORESTATSCOMP:               statsetw,        13        49        51        65        65        67         1
MODCORESTATSCOMP:               statsetw,        14        53        54        69        70        72         1
MODCORESTATSCOMP:               statsetw,        15        57        57        74        75        77         1
MODCORESTATSCOMP:               statsetw,        16        61        60        79        79        82         1
MODCORESTATSCOMP:               statsetw,        17        64        64        84        85        87         1
MODCORESTATSCOMP:               statsetw,        18        67        68        89        90        91         1
MODCORESTATSCOMP:               statsetw,        19        70        71        95        95        96         1
MODCORESTATSCOMP:               statsetw,        20        73        75       100        99       100         1
MODCORESTATSCOMP:               statsetw,        21        78        77       105       104       105         1
MODCORESTATSCOMP:               statsetw,        22        81        80       109       110       110         1
MODCORESTATSCOMP:               statsetw,        23        84        84       114       114       116         1
MODCORESTATSCOMP:               statsetw,        24        88        87       119       118       121         1
MODCORESTATSCOMP:               statsetw,        25        92        92       123       123       125         1
MODCORESTATSCOMP:               statsetw,        26        94        97       128       127       130         1
MODCORESTATSCOMP:               statsetw,        27        98       100       134       131       135         1
MODCORESTATSCOMP:               statsetw,        28       102       104       139       136       140         1
MODCORESTATSCOMP:               statsetw,        29       104       109       144       141       145         1
MODCORESTATSCOMP:               statsetw,        30       107       112       148       146       151         1


