// STATSET export Class: Ludo
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         4         8         5         5         5         1
MODCORESTATSCOMP:               statset0,         2         7        13        11        10        10         1
MODCORESTATSCOMP:               statset0,         3        10        16        16        14        15         1
MODCORESTATSCOMP:               statset0,         4        12        21        21        18        20         1
MODCORESTATSCOMP:               statset0,         5        15        24        26        23        24         1
MODCORESTATSCOMP:               statset0,         6        18        26        32        29        29         1
MODCORESTATSCOMP:               statset0,         7        21        28        36        34        34         1
MODCORESTATSCOMP:               statset0,         8        25        32        40        39        39         1
MODCORESTATSCOMP:               statset0,         9        27        35        45        45        45         1
MODCORESTATSCOMP:               statset0,        10        31        39        51        49        50         1
MODCORESTATSCOMP:               statset0,        11        34        42        56        53        55         1
MODCORESTATSCOMP:               statset0,        12        37        46        60        58        60         1
MODCORESTATSCOMP:               statset0,        13        40        49        65        63        64         1
MODCORESTATSCOMP:               statset0,        14        43        53        69        68        69         1
MODCORESTATSCOMP:               statset0,        15        46        56        75        74        74         1
MODCORESTATSCOMP:               statset0,        16        49        61        79        78        78         1
MODCORESTATSCOMP:               statset0,        17        52        66        84        84        83         1
MODCORESTATSCOMP:               statset0,        18        55        70        88        89        87         1
MODCORESTATSCOMP:               statset0,        19        58        74        93        94        91         1
MODCORESTATSCOMP:               statset0,        20        60        77        98        98        96         1
MODCORESTATSCOMP:               statset0,        21        63        81       103       103       102         1
MODCORESTATSCOMP:               statset0,        22        66        84       107       108       107         1
MODCORESTATSCOMP:               statset0,        23        69        87       112       113       111         1
MODCORESTATSCOMP:               statset0,        24        74        89       117       119       115         1
MODCORESTATSCOMP:               statset0,        25        77        91       121       124       120         1
MODCORESTATSCOMP:               statset0,        26        81        94       125       129       126         1
MODCORESTATSCOMP:               statset0,        27        85        99       131       135       131         1
MODCORESTATSCOMP:               statset0,        28        89       101       136       140       136         1
MODCORESTATSCOMP:               statset0,        29        93       105       141       145       142         1
MODCORESTATSCOMP:               statset0,        30        97       108       146       150       147         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         5         6         6         5         5         1
MODCORESTATSCOMP:               statset1,         2         7         9        10         9         9         1
MODCORESTATSCOMP:               statset1,         3         9        13        14        13        14         1
MODCORESTATSCOMP:               statset1,         4        13        16        18        18        20         1
MODCORESTATSCOMP:               statset1,         5        15        18        24        24        24         1
MODCORESTATSCOMP:               statset1,         6        19        21        29        29        29         1
MODCORESTATSCOMP:               statset1,         7        23        25        33        35        35         1
MODCORESTATSCOMP:               statset1,         8        26        29        39        40        39         1
MODCORESTATSCOMP:               statset1,         9        29        33        44        45        44         1
MODCORESTATSCOMP:               statset1,        10        33        37        49        49        49         1
MODCORESTATSCOMP:               statset1,        11        37        41        54        54        55         1
MODCORESTATSCOMP:               statset1,        12        41        45        59        59        61         1
MODCORESTATSCOMP:               statset1,        13        44        50        64        63        65         1
MODCORESTATSCOMP:               statset1,        14        47        54        69        67        69         1
MODCORESTATSCOMP:               statset1,        15        50        56        75        73        74         1
MODCORESTATSCOMP:               statset1,        16        53        59        79        78        80         1
MODCORESTATSCOMP:               statset1,        17        57        61        84        82        85         1
MODCORESTATSCOMP:               statset1,        18        60        65        89        87        89         1
MODCORESTATSCOMP:               statset1,        19        64        68        94        92        94         1
MODCORESTATSCOMP:               statset1,        20        67        72        98        97        99         1
MODCORESTATSCOMP:               statset1,        21        71        76       102       102       103         1
MODCORESTATSCOMP:               statset1,        22        76        79       107       107       107         1
MODCORESTATSCOMP:               statset1,        23        79        84       113       111       113         1
MODCORESTATSCOMP:               statset1,        24        82        86       117       116       119         1
MODCORESTATSCOMP:               statset1,        25        84        89       122       121       125         1
MODCORESTATSCOMP:               statset1,        26        87        92       126       126       131         1
MODCORESTATSCOMP:               statset1,        27        90        95       132       132       135         1
MODCORESTATSCOMP:               statset1,        28        95        98       137       138       141         1
MODCORESTATSCOMP:               statset1,        29        98       102       142       143       146         1
MODCORESTATSCOMP:               statset1,        30       102       107       148       149       151         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset2,         1         4         7         4         5         5         1
MODCORESTATSCOMP:               statset2,         2         6        12         9        10        10         1
MODCORESTATSCOMP:               statset2,         3        10        15        15        16        16         1
MODCORESTATSCOMP:               statset2,         4        15        20        21        20        21         1
MODCORESTATSCOMP:               statset2,         5        19        24        26        25        27         1
MODCORESTATSCOMP:               statset2,         6        23        28        31        30        32         1
MODCORESTATSCOMP:               statset2,         7        26        31        36        34        37         1
MODCORESTATSCOMP:               statset2,         8        30        33        42        40        42         1
MODCORESTATSCOMP:               statset2,         9        32        36        48        45        48         1
MODCORESTATSCOMP:               statset2,        10        36        39        53        50        54         1
MODCORESTATSCOMP:               statset2,        11        39        42        58        54        58         1
MODCORESTATSCOMP:               statset2,        12        42        44        63        59        62         1
MODCORESTATSCOMP:               statset2,        13        45        48        68        65        66         1
MODCORESTATSCOMP:               statset2,        14        49        51        74        69        71         1
MODCORESTATSCOMP:               statset2,        15        52        53        78        74        75         1
MODCORESTATSCOMP:               statset2,        16        56        55        83        79        81         1
MODCORESTATSCOMP:               statset2,        17        59        58        88        85        86         1
MODCORESTATSCOMP:               statset2,        18        63        62        93        90        91         1
MODCORESTATSCOMP:               statset2,        19        67        65        98        94        96         1
