// STATSET export Class: Ludo
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statsetw,         1         4         6         5         5         5         1
MODCORESTATSCOMP:               statsetw,         2         8        11        10        11        10         1
MODCORESTATSCOMP:               statsetw,         3        11        16        16        15        16         1
MODCORESTATSCOMP:               statsetw,         4        15        21        22        19        20         1
MODCORESTATSCOMP:               statsetw,         5        18        23        26        23        24         1
MODCORESTATSCOMP:               statsetw,         6        21        27        31        28        30         1
MODCORESTATSCOMP:               statsetw,         7        24        30        35        32        35         1
MODCORESTATSCOMP:               statsetw,         8        29        32        39        36        39         1
MODCORESTATSCOMP:               statsetw,         9        32        35        45        42        45         1
MODCORESTATSCOMP:               statsetw,        10        35        38        49        47        50         1
MODCORESTATSCOMP:               statsetw,        11        39        42        55        51        55         1
MODCORESTATSCOMP:               statsetw,        12        42        45        61        56        60         1
MODCORESTATSCOMP:               statsetw,        13        47        48        66        61        66         1
MODCORESTATSCOMP:               statsetw,        14        52        51        70        67        72         1
MODCORESTATSCOMP:               statsetw,        15        55        55        76        71        76         1
MODCORESTATSCOMP:               statsetw,        16        59        59        82        76        80         1
MODCORESTATSCOMP:               statsetw,        17        62        62        86        81        84         1
MODCORESTATSCOMP:               statsetw,        18        65        66        92        85        90         1
MODCORESTATSCOMP:               statsetw,        19        69        70        96        91        94         1
MODCORESTATSCOMP:               statsetw,        20        72        74       101        97        99         1


MODCORESTATSCOMP:               statsetWeak,         1         3         8         5         5         5         1


