// STATSET export Class: MongrelShaman
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         4         5         6         4         5         1
MODCORESTATSCOMP:               statset0,         2         6         9        11        10         9         1
MODCORESTATSCOMP:               statset0,         3         8        13        17        14        13         1
MODCORESTATSCOMP:               statset0,         4        12        17        23        20        18         1
MODCORESTATSCOMP:               statset0,         5        14        20        28        25        23         1
MODCORESTATSCOMP:               statset0,         6        17        22        33        30        28         1
MODCORESTATSCOMP:               statset0,         7        21        25        38        35        34         1
MODCORESTATSCOMP:               statset0,         8        24        28        44        40        39         1
MODCORESTATSCOMP:               statset0,         9        26        30        49        46        43         1
MODCORESTATSCOMP:               statset0,        10        30        33        54        52        48         1
MODCORESTATSCOMP:               statset0,        11        33        36        59        57        52         1
MODCORESTATSCOMP:               statset0,        12        36        39        64        62        57         1
MODCORESTATSCOMP:               statset0,        13        40        41        68        68        62         1
MODCORESTATSCOMP:               statset0,        14        43        44        73        73        67         1
MODCORESTATSCOMP:               statset0,        15        45        47        77        77        72         1
MODCORESTATSCOMP:               statset0,        16        48        49        81        82        76         1
MODCORESTATSCOMP:               statset0,        17        51        52        86        86        80         1
MODCORESTATSCOMP:               statset0,        18        53        55        91        92        84         1
MODCORESTATSCOMP:               statset0,        19        56        58        95        97        89         1
MODCORESTATSCOMP:               statset0,        20        60        61       101       102        93         1
MODCORESTATSCOMP:               statset0,        21        64        64       105       107        99         1
MODCORESTATSCOMP:               statset0,        22        67        68       110       113       105         1
MODCORESTATSCOMP:               statset0,        23        70        72       114       118       111         1
MODCORESTATSCOMP:               statset0,        24        74        74       119       123       115         1
MODCORESTATSCOMP:               statset0,        25        76        78       124       128       119         1
MODCORESTATSCOMP:               statset0,        26        80        80       129       134       125         1
MODCORESTATSCOMP:               statset0,        27        83        83       134       139       131         1
MODCORESTATSCOMP:               statset0,        28        86        86       139       144       136         1
MODCORESTATSCOMP:               statset0,        29        89        89       144       148       141         1
MODCORESTATSCOMP:               statset0,        30        91        92       149       154       145         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         5         4         5         4         4         1
MODCORESTATSCOMP:               statset1,         2         8         7         9         8         8         1
MODCORESTATSCOMP:               statset1,         3        12         9        13        14        13         1
MODCORESTATSCOMP:               statset1,         4        15        12        18        18        19         1
MODCORESTATSCOMP:               statset1,         5        18        14        22        22        24         1
MODCORESTATSCOMP:               statset1,         6        20        18        26        28        29         1
MODCORESTATSCOMP:               statset1,         7        24        21        30        34        35         1
MODCORESTATSCOMP:               statset1,         8        27        24        36        39        39         1
MODCORESTATSCOMP:               statset1,         9        30        27        41        44        44         1
MODCORESTATSCOMP:               statset1,        10        34        29        47        49        49         1
MODCORESTATSCOMP:               statset1,        11        37        31        52        53        54         1
MODCORESTATSCOMP:               statset1,        12        40        35        56        58        58         1
MODCORESTATSCOMP:               statset1,        13        43        38        61        64        63         1
MODCORESTATSCOMP:               statset1,        14        46        42        67        68        67         1
MODCORESTATSCOMP:               statset1,        15        49        46        73        73        72         1
MODCORESTATSCOMP:               statset1,        16        51        50        78        77        77         1
MODCORESTATSCOMP:               statset1,        17        54        52        82        82        82         1
MODCORESTATSCOMP:               statset1,        18        57        55        87        86        88         1
MODCORESTATSCOMP:               statset1,        19        60        59        93        91        93         1
MODCORESTATSCOMP:               statset1,        20        63        61        99        97        99         1
MODCORESTATSCOMP:               statset1,        21        66        64       104       102       104         1
MODCORESTATSCOMP:               statset1,        22        68        66       108       107       108         1
MODCORESTATSCOMP:               statset1,        23        70        69       113       112       112         1
MODCORESTATSCOMP:               statset1,        24        72        73       119       116       117         1
MODCORESTATSCOMP:               statset1,        25        75        75       123       121       123         1
MODCORESTATSCOMP:               statset1,        26        78        77       129       126       128         1
MODCORESTATSCOMP:               statset1,        27        82        80       133       131       132         1
MODCORESTATSCOMP:               statset1,        28        85        83       138       137       137         1
MODCORESTATSCOMP:               statset1,        29        87        85       143       143       142         1
MODCORESTATSCOMP:               statset1,        30        89        88       148       149       146         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset2,         1         4         5         5         4         5         1
