// STATSET export Class: Nephilia
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         4         4         5         6         5         1
MODCORESTATSCOMP:               statset0,         2         7         7        10        11         9         1
MODCORESTATSCOMP:               statset0,         3        10        10        15        17        13         1
MODCORESTATSCOMP:               statset0,         4        12        12        21        22        18         1
MODCORESTATSCOMP:               statset0,         5        15        15        27        27        22         1
MODCORESTATSCOMP:               statset0,         6        17        17        33        32        27         1
MODCORESTATSCOMP:               statset0,         7        20        19        38        38        32         1
MODCORESTATSCOMP:               statset0,         8        24        22        42        43        38         1
MODCORESTATSCOMP:               statset0,         9        27        25        46        48        44         1
MODCORESTATSCOMP:               statset0,        10        29        28        52        53        49         1
MODCORESTATSCOMP:               statset0,        11        33        30        57        58        54         1
MODCORESTATSCOMP:               statset0,        12        37        33        62        63        58         1
MODCORESTATSCOMP:               statset0,        13        40        37        67        69        64         1
MODCORESTATSCOMP:               statset0,        14        43        40        72        75        70         1
MODCORESTATSCOMP:               statset0,        15        47        44        77        80        76         1
MODCORESTATSCOMP:               statset0,        16        50        48        83        85        81         1
MODCORESTATSCOMP:               statset0,        17        53        50        88        90        86         1
MODCORESTATSCOMP:               statset0,        18        55        53        92        94        90         1
MODCORESTATSCOMP:               statset0,        19        58        56        98        99        95         1
MODCORESTATSCOMP:               statset0,        20        62        58       103       103        99         1
MODCORESTATSCOMP:               statset0,        21        65        61       109       107       103         1
MODCORESTATSCOMP:               statset0,        22        67        65       115       112       109         1
MODCORESTATSCOMP:               statset0,        23        70        68       121       116       114         1
MODCORESTATSCOMP:               statset0,        24        73        71       127       122       119         1
MODCORESTATSCOMP:               statset0,        25        76        74       132       126       124         1
MODCORESTATSCOMP:               statset0,        26        78        78       136       131       129         1
MODCORESTATSCOMP:               statset0,        27        81        81       140       137       133         1
MODCORESTATSCOMP:               statset0,        28        83        84       145       141       139         1
MODCORESTATSCOMP:               statset0,        29        87        87       150       147       144         1
MODCORESTATSCOMP:               statset0,        30        90        89       155       152       148         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         5         4         5         6         6         1
MODCORESTATSCOMP:               statset1,         2         9         7        10        11        10         1
MODCORESTATSCOMP:               statset1,         3        13         9        16        17        14         1
MODCORESTATSCOMP:               statset1,         4        17        11        20        21        19         1
MODCORESTATSCOMP:               statset1,         5        21        14        26        27        24         1
MODCORESTATSCOMP:               statset1,         6        24        16        30        31        30         1
MODCORESTATSCOMP:               statset1,         7        27        19        35        35        35         1
MODCORESTATSCOMP:               statset1,         8        31        22        40        40        41         1
MODCORESTATSCOMP:               statset1,         9        33        25        45        45        45         1
MODCORESTATSCOMP:               statset1,        10        36        28        50        49        49         1
MODCORESTATSCOMP:               statset1,        11        40        30        55        53        55         1
MODCORESTATSCOMP:               statset1,        12        44        32        60        58        61         1
MODCORESTATSCOMP:               statset1,        13        48        35        65        64        65         1
MODCORESTATSCOMP:               statset1,        14        51        38        71        69        71         1
MODCORESTATSCOMP:               statset1,        15        55        41        75        75        76         1
MODCORESTATSCOMP:               statset1,        16        58        44        79        79        81         1
MODCORESTATSCOMP:               statset1,        17        60        48        84        83        87         1
MODCORESTATSCOMP:               statset1,        18        63        51        88        87        93         1
MODCORESTATSCOMP:               statset1,        19        65        54        93        92        98         1
MODCORESTATSCOMP:               statset1,        20        69        57        98        97       103         1
MODCORESTATSCOMP:               statset1,        21        72        60       103       103       108         1
MODCORESTATSCOMP:               statset1,        22        76        62       108       108       113         1
MODCORESTATSCOMP:               statset1,        23        80        66       112       112       118         1
MODCORESTATSCOMP:               statset1,        24        82        69       117       117       123         1
MODCORESTATSCOMP:               statset1,        25        85        71       122       122       129         1
MODCORESTATSCOMP:               statset1,        26        88        74       127       128       133         1
MODCORESTATSCOMP:               statset1,        27        91        76       132       133       138         1
MODCORESTATSCOMP:               statset1,        28        94        79       137       138       142         1
MODCORESTATSCOMP:               statset1,        29        97        82       142       142       147         1
MODCORESTATSCOMP:               statset1,        30        99        85       148       148       151         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset2,         1         4         5         6         6         5         1
MODCORESTATSCOMP:               statset2,         2         7         8        11        12        10         1
MODCORESTATSCOMP:               statset2,         3        10        12        15        17        15         1
MODCORESTATSCOMP:               statset2,         4        13        16        20        22        20         1
