// STATSET export Class: Ogre
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statsetPS2Demo,         1         4         4         3         3         2     2.00
MODCORESTATSCOMP:               statsetPS2Demo,         2         8         8         6         6         4     2.00
MODCORESTATSCOMP:               statsetPS2Demo,         3        12        12         9         9         7     2.00
MODCORESTATSCOMP:               statsetPS2Demo,         4        16        16        12        11         9     2.00
MODCORESTATSCOMP:               statsetPS2Demo,         5        22        20        17        13        11     2.00
MODCORESTATSCOMP:               statsetPS2Demo,         6        24        24        16        15        14     2.00
MODCORESTATSCOMP:               statsetPS2Demo,         7        28        28        19        18        17     2.00
MODCORESTATSCOMP:               statsetPS2Demo,         8        32        32        22        21        19     2.00
MODCORESTATSCOMP:               statsetPS2Demo,         9        36        36        25        23        21     2.00
MODCORESTATSCOMP:               statsetPS2Demo,        10        40        40        27        25        23     2.00
MODCORESTATSCOMP:               statsetPS2Demo,        11        44        44        29        27        26     2.00
MODCORESTATSCOMP:               statsetPS2Demo,        12        48        48        31        29        29     2.00
MODCORESTATSCOMP:               statsetPS2Demo,        13        52        52        33        32        31     2.00
MODCORESTATSCOMP:               statsetPS2Demo,        14        56        56        36        34        33     2.00
MODCORESTATSCOMP:               statsetPS2Demo,        15        60        60        39        36        35     2.00
MODCORESTATSCOMP:               statsetPS2Demo,        16        64        64        41        39        37     2.00
MODCORESTATSCOMP:               statsetPS2Demo,        17        68        68        44        42        39     2.00
MODCORESTATSCOMP:               statsetPS2Demo,        18        72        72        46        45        41     2.00
MODCORESTATSCOMP:               statsetPS2Demo,        19        76        76        49        48        43     2.00
MODCORESTATSCOMP:               statsetPS2Demo,        20        80        80        51        50        45     2.00


