// STATSET export Class: Prop
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,         2         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,         3         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,         4         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,         5         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,         6         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,         7         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,         8         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,         9         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        10         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        11         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        12         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        13         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        14         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        15         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        16         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        17         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        18         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        19         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        20         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        21         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        22         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        23         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        24         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        25         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        26         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        27         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        28         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        29         1         0         0         0         0         0
MODCORESTATSCOMP:               statset0,        30         1         0         0         0         0         0


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         1         0         0         0         0         0
MODCORESTATSCOMP:               statset1,         2         1         0         0         0         0         0
MODCORESTATSCOMP:               statset1,         3         1         0         0         0         0         0
