// STATSET export Class: Satyr
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         4         5        10        10        26         1
MODCORESTATSCOMP:               statset0,         2         7         7        14        15        30         1
MODCORESTATSCOMP:               statset0,         3        11        11        18        20        36         1
MODCORESTATSCOMP:               statset0,         4        14        14        23        25        41         1
MODCORESTATSCOMP:               statset0,         5        18        18        28        30        47         1
MODCORESTATSCOMP:               statset0,         6        21        21        32        36        53         1
MODCORESTATSCOMP:               statset0,         7        24        24        37        42        57         1
MODCORESTATSCOMP:               statset0,         8        26        28        42        48        62         1
MODCORESTATSCOMP:               statset0,         9        28        32        47        54        68         1
MODCORESTATSCOMP:               statset0,        10        30        34        53        59        74         1
MODCORESTATSCOMP:               statset0,        11        33        37        57        63        79         1
MODCORESTATSCOMP:               statset0,        12        37        40        62        68        83         1
MODCORESTATSCOMP:               statset0,        13        40        43        67        73        87         1
MODCORESTATSCOMP:               statset0,        14        44        45        73        77        93         1
MODCORESTATSCOMP:               statset0,        15        48        47        77        81        99         1
MODCORESTATSCOMP:               statset0,        16        52        50        81        86       105         1
MODCORESTATSCOMP:               statset0,        17        55        53        87        92       110         1
MODCORESTATSCOMP:               statset0,        18        58        55        92        97       115         1
MODCORESTATSCOMP:               statset0,        19        61        59        96       103       120         1
MODCORESTATSCOMP:               statset0,        20        64        62       100       108       124         1
MODCORESTATSCOMP:               statset0,        21        68        66       104       112       130         1
MODCORESTATSCOMP:               statset0,        22        70        69       109       117       136         1
MODCORESTATSCOMP:               statset0,        23        73        72       113       122       141         1
MODCORESTATSCOMP:               statset0,        24        75        76       118       127       145         1
MODCORESTATSCOMP:               statset0,        25        77        79       124       133       150         1
MODCORESTATSCOMP:               statset0,        26        81        82       129       137       156         1
MODCORESTATSCOMP:               statset0,        27        84        86       134       142       161         1
MODCORESTATSCOMP:               statset0,        28        88        89       140       147       167         1
MODCORESTATSCOMP:               statset0,        29        91        92       144       153       172         1
MODCORESTATSCOMP:               statset0,        30        94        95       148       159       178         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         4         4        11        10        24         1
MODCORESTATSCOMP:               statset1,         2         7         6        17        15        29         1
MODCORESTATSCOMP:               statset1,         3         9        10        21        20        34         1
MODCORESTATSCOMP:               statset1,         4        12        12        26        25        40         1
MODCORESTATSCOMP:               statset1,         5        16        16        31        31        45         1
MODCORESTATSCOMP:               statset1,         6        20        20        35        36        50         1
MODCORESTATSCOMP:               statset1,         7        22        22        39        41        56         1
MODCORESTATSCOMP:               statset1,         8        24        25        44        46        61         1
MODCORESTATSCOMP:               statset1,         9        27        28        49        51        66         1
MODCORESTATSCOMP:               statset1,        10        31        32        54        57        71         1
MODCORESTATSCOMP:               statset1,        11        33        35        59        62        77         1
MODCORESTATSCOMP:               statset1,        12        36        38        63        67        83         1
MODCORESTATSCOMP:               statset1,        13        38        42        68        72        89         1
MODCORESTATSCOMP:               statset1,        14        42        44        73        78        94         1
MODCORESTATSCOMP:               statset1,        15        45        47        79        83        98         1
MODCORESTATSCOMP:               statset1,        16        49        50        85        88       103         1
MODCORESTATSCOMP:               statset1,        17        51        54        90        93       108         1
MODCORESTATSCOMP:               statset1,        18        54        57        95        98       113         1
MODCORESTATSCOMP:               statset1,        19        56        60        99       103       117         1
MODCORESTATSCOMP:               statset1,        20        60        62       105       108       122         1
MODCORESTATSCOMP:               statset1,        21        62        65       111       113       126         1
MODCORESTATSCOMP:               statset1,        22        65        67       116       117       130         1
MODCORESTATSCOMP:               statset1,        23        67        70       121       122       136         1
MODCORESTATSCOMP:               statset1,        24        71        73       126       127       141         1
MODCORESTATSCOMP:               statset1,        25        74        76       131       132       145         1
MODCORESTATSCOMP:               statset1,        26        77        79       136       138       151         1
MODCORESTATSCOMP:               statset1,        27        80        82       142       143       157         1
MODCORESTATSCOMP:               statset1,        28        84        86       148       149       162         1
MODCORESTATSCOMP:               statset1,        29        87        89       152       154       167         1
MODCORESTATSCOMP:               statset1,        30        90        91       158       158       173         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset2,         1         3         4         9        10        25         1
MODCORESTATSCOMP:               statset2,         2         6         6        14        16        30         1
MODCORESTATSCOMP:               statset2,         3         9         9        19        20        36         1
MODCORESTATSCOMP:               statset2,         4        12        12        24        25        42         1
MODCORESTATSCOMP:               statset2,         5        15        16        30        30        47         1
MODCORESTATSCOMP:               statset2,         6        17        18        34        34        53         1
MODCORESTATSCOMP:               statset2,         7        19        20        40        39        59         1
MODCORESTATSCOMP:               statset2,         8        22        24        46        44        64         1
MODCORESTATSCOMP:               statset2,         9        25        28        50        49        69         1
MODCORESTATSCOMP:               statset2,        10        28        31        55        54        73         1
MODCORESTATSCOMP:               statset2,        11        31        33        60        59        79         1
MODCORESTATSCOMP:               statset2,        12        35        36        66        64        83         1
MODCORESTATSCOMP:               statset2,        13        38        39        72        68        89         1
MODCORESTATSCOMP:               statset2,        14        41        43        78        72        94         1
MODCORESTATSCOMP:               statset2,        15        44        46        84        77        98         1
MODCORESTATSCOMP:               statset2,        16        46        48        89        83       103         1
MODCORESTATSCOMP:               statset2,        17        50        51        95        88       108         1
MODCORESTATSCOMP:               statset2,        18        53        55       101        93       114         1
MODCORESTATSCOMP:               statset2,        19        56        57       107        98       119         1
MODCORESTATSCOMP:               statset2,        20        58        60       111       102       124         1
MODCORESTATSCOMP:               statset2,        21        60        62       117       106       129         1
MODCORESTATSCOMP:               statset2,        22        63        65       122       111       134         1
MODCORESTATSCOMP:               statset2,        23        65        68       126       116       139         1
