// STATSET export Class: Summoner
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         3         4         5         5         6         1
MODCORESTATSCOMP:               statset0,         2         6         7         9        11        11         1
MODCORESTATSCOMP:               statset0,         3         9         9        13        15        16         1
MODCORESTATSCOMP:               statset0,         4        12        12        18        21        22         1
MODCORESTATSCOMP:               statset0,         5        14        15        24        26        28         1
MODCORESTATSCOMP:               statset0,         6        17        18        30        31        33         1
MODCORESTATSCOMP:               statset0,         7        19        21        36        37        38         1
MODCORESTATSCOMP:               statset0,         8        22        24        40        41        43         1
MODCORESTATSCOMP:               statset0,         9        25        27        46        46        48         1
MODCORESTATSCOMP:               statset0,        10        27        29        52        52        53         1
MODCORESTATSCOMP:               statset0,        11        30        32        57        57        59         1
MODCORESTATSCOMP:               statset0,        12        32        36        63        63        65         1
MODCORESTATSCOMP:               statset0,        13        36        39        68        69        69         1
MODCORESTATSCOMP:               statset0,        14        38        42        74        75        75         1
MODCORESTATSCOMP:               statset0,        15        41        46        78        80        79         1
MODCORESTATSCOMP:               statset0,        16        44        49        83        86        83         1
MODCORESTATSCOMP:               statset0,        17        46        52        88        91        89         1
MODCORESTATSCOMP:               statset0,        18        49        54        94        96        94         1
MODCORESTATSCOMP:               statset0,        19        52        58        99       101        99         1
MODCORESTATSCOMP:               statset0,        20        55        60       105       105       103         1
MODCORESTATSCOMP:               statset0,        21        57        62       109       110       108         1
MODCORESTATSCOMP:               statset0,        22        59        64       115       114       113         1
MODCORESTATSCOMP:               statset0,        23        62        66       121       120       119         1
MODCORESTATSCOMP:               statset0,        24        64        68       126       125       124         1
MODCORESTATSCOMP:               statset0,        25        67        71       131       130       129         1
MODCORESTATSCOMP:               statset0,        26        69        73       137       134       135         1
MODCORESTATSCOMP:               statset0,        27        72        77       141       140       139         1
MODCORESTATSCOMP:               statset0,        28        74        80       147       145       144         1
MODCORESTATSCOMP:               statset0,        29        77        83       152       149       149         1
MODCORESTATSCOMP:               statset0,        30        80        86       157       154       154         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
