// STATSET export Class: UndeadCaster
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         5         4         5         4         6         1
MODCORESTATSCOMP:               statset0,         2         7         8        10         9        11         1
MODCORESTATSCOMP:               statset0,         3         9        11        16        14        15         1
MODCORESTATSCOMP:               statset0,         4        12        15        21        18        21         1
MODCORESTATSCOMP:               statset0,         5        14        19        27        22        25         1
MODCORESTATSCOMP:               statset0,         6        18        22        32        28        30         1
MODCORESTATSCOMP:               statset0,         7        22        25        37        33        35         1
MODCORESTATSCOMP:               statset0,         8        25        28        42        38        40         1
MODCORESTATSCOMP:               statset0,         9        27        32        48        44        45         1
MODCORESTATSCOMP:               statset0,        10        29        36        53        50        51         1
MODCORESTATSCOMP:               statset0,        11        32        39        59        55        57         1
MODCORESTATSCOMP:               statset0,        12        35        42        64        60        62         1
MODCORESTATSCOMP:               statset0,        13        37        44        70        66        66         1
MODCORESTATSCOMP:               statset0,        14        39        47        74        71        72         1
MODCORESTATSCOMP:               statset0,        15        41        50        79        76        76         1
MODCORESTATSCOMP:               statset0,        16        44        53        83        81        81         1
MODCORESTATSCOMP:               statset0,        17        48        57        88        86        86         1
MODCORESTATSCOMP:               statset0,        18        51        60        92        90        91         1
MODCORESTATSCOMP:               statset0,        19        53        64        98        95        96         1
MODCORESTATSCOMP:               statset0,        20        56        67       103       101       102         1
MODCORESTATSCOMP:               statset0,        21        59        70       109       107       106         1
MODCORESTATSCOMP:               statset0,        22        61        72       114       113       111         1
MODCORESTATSCOMP:               statset0,        23        64        75       119       118       116         1
MODCORESTATSCOMP:               statset0,        24        67        77       123       123       121         1
MODCORESTATSCOMP:               statset0,        25        70        80       128       128       126         1
MODCORESTATSCOMP:               statset0,        26        72        84       134       132       130         1
MODCORESTATSCOMP:               statset0,        27        74        88       139       136       136         1
MODCORESTATSCOMP:               statset0,        28        77        92       144       142       140         1
