// STATSET export Class: UndeadMelee
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         3         6         5         5         6         1
MODCORESTATSCOMP:               statset0,         2         7        10        10        10        10         1
MODCORESTATSCOMP:               statset0,         3        10        12        15        15        14         1
MODCORESTATSCOMP:               statset0,         4        14        15        20        20        19         1
MODCORESTATSCOMP:               statset0,         5        17        19        26        26        24         1
MODCORESTATSCOMP:               statset0,         6        21        22        31        31        30         1
MODCORESTATSCOMP:               statset0,         7        25        26        35        36        35         1
MODCORESTATSCOMP:               statset0,         8        28        30        40        40        41         1
MODCORESTATSCOMP:               statset0,         9        32        32        45        46        45         1
MODCORESTATSCOMP:               statset0,        10        35        36        50        52        49         1
MODCORESTATSCOMP:               statset0,        11        39        39        55        57        54         1
MODCORESTATSCOMP:               statset0,        12        42        42        59        62        59         1
MODCORESTATSCOMP:               statset0,        13        44        46        65        68        64         1
MODCORESTATSCOMP:               statset0,        14        47        49        71        74        69         1
MODCORESTATSCOMP:               statset0,        15        51        53        77        78        74         1
MODCORESTATSCOMP:               statset0,        16        54        55        83        84        80         1
MODCORESTATSCOMP:               statset0,        17        58        59        88        89        85         1
MODCORESTATSCOMP:               statset0,        18        63        63        93        93        91         1
MODCORESTATSCOMP:               statset0,        19        68        68        97        98        95         1
MODCORESTATSCOMP:               statset0,        20        70        72       102       103        99         1
MODCORESTATSCOMP:               statset0,        21        73        76       107       108       105         1
MODCORESTATSCOMP:               statset0,        22        76        79       112       113       109         1
MODCORESTATSCOMP:               statset0,        23        81        83       116       118       115         1
MODCORESTATSCOMP:               statset0,        24        85        87       121       123       120         1
MODCORESTATSCOMP:               statset0,        25        90        91       126       129       125         1
MODCORESTATSCOMP:               statset0,        26        93        95       130       135       129         1
MODCORESTATSCOMP:               statset0,        27        96        98       136       140       134         1
MODCORESTATSCOMP:               statset0,        28        98       101       141       145       139         1
MODCORESTATSCOMP:               statset0,        29       103       104       147       149       143         1
MODCORESTATSCOMP:               statset0,        30       106       108       152       154       148         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         4         5         5         6         5         1
MODCORESTATSCOMP:               statset1,         2         8        10         9        11        10         1
MODCORESTATSCOMP:               statset1,         3        12        14        14        17        16         1
MODCORESTATSCOMP:               statset1,         4        15        18        19        22        20         1
MODCORESTATSCOMP:               statset1,         5        19        22        24        27        25         1
MODCORESTATSCOMP:               statset1,         6        24        27        28        33        30         1
MODCORESTATSCOMP:               statset1,         7        29        30        32        38        35         1
MODCORESTATSCOMP:               statset1,         8        33        32        37        44        39         1
MODCORESTATSCOMP:               statset1,         9        37        35        42        49        44         1
