// STATSET export Class: Urlan
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         5         5         5         6         5         1
MODCORESTATSCOMP:               statset0,         2         8        10         9        11         9         1
MODCORESTATSCOMP:               statset0,         3        10        13        14        15        14         1
MODCORESTATSCOMP:               statset0,         4        14        17        19        20        19         1
MODCORESTATSCOMP:               statset0,         5        17        21        24        25        24         1
MODCORESTATSCOMP:               statset0,         6        21        24        29        30        30         1
MODCORESTATSCOMP:               statset0,         7        25        28        35        35        36         1
MODCORESTATSCOMP:               statset0,         8        30        31        39        40        41         1
MODCORESTATSCOMP:               statset0,         9        34        34        45        46        47         1
MODCORESTATSCOMP:               statset0,        10        37        37        49        50        53         1
MODCORESTATSCOMP:               statset0,        11        40        41        54        55        59         1
MODCORESTATSCOMP:               statset0,        12        44        45        58        59        64         1
MODCORESTATSCOMP:               statset0,        13        46        49        63        65        68         1
MODCORESTATSCOMP:               statset0,        14        50        52        68        70        74         1
MODCORESTATSCOMP:               statset0,        15        55        55        72        76        79         1
MODCORESTATSCOMP:               statset0,        16        58        60        77        81        85         1
MODCORESTATSCOMP:               statset0,        17        62        64        81        87        91         1
MODCORESTATSCOMP:               statset0,        18        67        66        86        92        96         1
MODCORESTATSCOMP:               statset0,        19        71        69        91        97       102         1
MODCORESTATSCOMP:               statset0,        20        75        73        96       101       106         1
MODCORESTATSCOMP:               statset0,        21        78        77       102       106       111         1
MODCORESTATSCOMP:               statset0,        22        82        80       107       111       116         1
MODCORESTATSCOMP:               statset0,        23        85        85       113       116       120         1
MODCORESTATSCOMP:               statset0,        24        89        89       119       120       125         1
MODCORESTATSCOMP:               statset0,        25        91        93       124       125       129         1
MODCORESTATSCOMP:               statset0,        26        93        96       129       130       133         1
MODCORESTATSCOMP:               statset0,        27        97        99       135       135       139         1
MODCORESTATSCOMP:               statset0,        28       100       104       140       139       145         1
MODCORESTATSCOMP:               statset0,        29       103       107       145       144       150         1
MODCORESTATSCOMP:               statset0,        30       107       110       150       149       155         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         5         6         5         4         5         1
MODCORESTATSCOMP:               statset1,         2         8         9         9         9        10         1
MODCORESTATSCOMP:               statset1,         3        10        12        14        13        15         1
MODCORESTATSCOMP:               statset1,         4        14        16        19        18        21         1
MODCORESTATSCOMP:               statset1,         5        18        20        24        23        25         1
MODCORESTATSCOMP:               statset1,         6        21        24        28        28        30         1
MODCORESTATSCOMP:               statset1,         7        24        28        32        33        35         1
MODCORESTATSCOMP:               statset1,         8        26        33        36        39        39         1
MODCORESTATSCOMP:               statset1,         9        29        38        41        45        44         1
MODCORESTATSCOMP:               statset1,        10        33        42        46        50        50         1
MODCORESTATSCOMP:               statset1,        11        37        46        51        55        56         1
MODCORESTATSCOMP:               statset1,        12        41        49        57        60        60         1
MODCORESTATSCOMP:               statset1,        13        45        54        62        64        64         1
MODCORESTATSCOMP:               statset1,        14        49        57        67        69        68         1
MODCORESTATSCOMP:               statset1,        15        52        60        71        74        72         1
MODCORESTATSCOMP:               statset1,        16        56        65        77        80        77         1
