// STATSET export Class: Ursula
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         5         7        10        11        11         1
MODCORESTATSCOMP:               statset0,         2         9        11        15        16        17         1
MODCORESTATSCOMP:               statset0,         3        13        13        19        20        21         1
MODCORESTATSCOMP:               statset0,         4        16        16        24        26        25         1
MODCORESTATSCOMP:               statset0,         5        19        20        29        30        30         1
MODCORESTATSCOMP:               statset0,         6        23        23        33        36        36         1
MODCORESTATSCOMP:               statset0,         7        28        26        38        40        41         1
MODCORESTATSCOMP:               statset0,         8        30        29        43        45        47         1
MODCORESTATSCOMP:               statset0,         9        34        32        48        51        52         1
MODCORESTATSCOMP:               statset0,        10        38        35        53        56        57         1
MODCORESTATSCOMP:               statset0,        11        41        39        58        62        63         1
MODCORESTATSCOMP:               statset0,        12        45        41        64        67        68         1
MODCORESTATSCOMP:               statset0,        13        49        43        69        71        72         1
MODCORESTATSCOMP:               statset0,        14        52        45        74        75        77         1
MODCORESTATSCOMP:               statset0,        15        56        49        78        79        83         1
MODCORESTATSCOMP:               statset0,        16        60        53        84        83        88         1
MODCORESTATSCOMP:               statset0,        17        65        57        89        88        93         1
MODCORESTATSCOMP:               statset0,        18        68        59        94        94        97         1
MODCORESTATSCOMP:               statset0,        19        71        62        99       100       103         1
MODCORESTATSCOMP:               statset0,        20        74        64       104       104       107         1
MODCORESTATSCOMP:               statset0,        21        78        67       108       109       112         1
MODCORESTATSCOMP:               statset0,        22        81        70       112       115       117         1
MODCORESTATSCOMP:               statset0,        23        85        75       117       120       123         1
MODCORESTATSCOMP:               statset0,        24        89        77       121       126       129         1
MODCORESTATSCOMP:               statset0,        25        93        79       127       130       133         1
MODCORESTATSCOMP:               statset0,        26        98        81       132       135       138         1
MODCORESTATSCOMP:               statset0,        27       103        84       136       140       143         1
MODCORESTATSCOMP:               statset0,        28       107        86       142       146       148         1
MODCORESTATSCOMP:               statset0,        29       109        91       148       151       154         1
MODCORESTATSCOMP:               statset0,        30       113        95       153       157       158         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         5         5        10        11         9         1
MODCORESTATSCOMP:               statset1,         2         9         9        14        15        14         1
MODCORESTATSCOMP:               statset1,         3        13        12        18        19        18         1
MODCORESTATSCOMP:               statset1,         4        16        14        23        24        23         1
MODCORESTATSCOMP:               statset1,         5        18        17        27        30        27         1
MODCORESTATSCOMP:               statset1,         6        21        21        32        34        32         1
MODCORESTATSCOMP:               statset1,         7        24        25        36        40        37         1
MODCORESTATSCOMP:               statset1,         8        27        29        42        45        42         1
MODCORESTATSCOMP:               statset1,         9        31        32        46        49        48         1
