// STATSET export Class: Valens
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1         4         6        11        10        11         1
MODCORESTATSCOMP:               statset0,         2         7        11        16        14        16         1
MODCORESTATSCOMP:               statset0,         3        10        15        21        18        21         1
MODCORESTATSCOMP:               statset0,         4        13        19        27        23        26         1
MODCORESTATSCOMP:               statset0,         5        16        22        33        28        32         1
MODCORESTATSCOMP:               statset0,         6        18        25        38        34        37         1
MODCORESTATSCOMP:               statset0,         7        20        28        42        38        42         1
MODCORESTATSCOMP:               statset0,         8        24        32        48        42        47         1
MODCORESTATSCOMP:               statset0,         9        28        36        54        47        51         1
MODCORESTATSCOMP:               statset0,        10        31        39        59        52        57         1
MODCORESTATSCOMP:               statset0,        11        34        43        63        57        61         1
MODCORESTATSCOMP:               statset0,        12        37        48        68        62        65         1
MODCORESTATSCOMP:               statset0,        13        41        52        74        67        70         1
MODCORESTATSCOMP:               statset0,        14        44        54        79        71        75         1
MODCORESTATSCOMP:               statset0,        15        47        57        84        76        80         1
MODCORESTATSCOMP:               statset0,        16        49        59        88        81        84         1
MODCORESTATSCOMP:               statset0,        17        53        62        93        86        89         1
MODCORESTATSCOMP:               statset0,        18        57        66        98        91        94         1
MODCORESTATSCOMP:               statset0,        19        62        68       104        95       100         1
MODCORESTATSCOMP:               statset0,        20        67        73       109        99       106         1
MODCORESTATSCOMP:               statset0,        21        72        76       114       104       112         1
MODCORESTATSCOMP:               statset0,        22        76        80       119       109       118         1
MODCORESTATSCOMP:               statset0,        23        81        85       124       114       122         1
MODCORESTATSCOMP:               statset0,        24        86        89       128       120       126         1
MODCORESTATSCOMP:               statset0,        25        88        92       132       125       131         1
MODCORESTATSCOMP:               statset0,        26        90        95       138       130       137         1
MODCORESTATSCOMP:               statset0,        27        92       100       143       135       142         1
MODCORESTATSCOMP:               statset0,        28        96       102       149       140       147         1
MODCORESTATSCOMP:               statset0,        29       101       106       154       145       152         1
MODCORESTATSCOMP:               statset0,        30       105       109       159       151       158         1


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1         5         6        10        10        10         1
MODCORESTATSCOMP:               statset1,         2         9        10        14        14        16         1
MODCORESTATSCOMP:               statset1,         3        11        13        19        20        22         1
MODCORESTATSCOMP:               statset1,         4        14        16        24        25        28         1
