// STATSET export Class: WolfGreater
// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset0,         1        18        16         5         4         6        20
MODCORESTATSCOMP:               statset0,         2        25        23        11         9        11        20
MODCORESTATSCOMP:               statset0,         3        32        30        15        14        16        20
MODCORESTATSCOMP:               statset0,         4        40        38        19        20        21        20
MODCORESTATSCOMP:               statset0,         5        49        44        24        24        27        20
MODCORESTATSCOMP:               statset0,         6        56        51        29        29        33        20
MODCORESTATSCOMP:               statset0,         7        64        58        35        35        38        20
MODCORESTATSCOMP:               statset0,         8        71        64        40        40        43        20
MODCORESTATSCOMP:               statset0,         9        79        71        46        45        48        20
MODCORESTATSCOMP:               statset0,        10        88        78        52        49        54        20
MODCORESTATSCOMP:               statset0,        11        97        84        57        54        59        20
MODCORESTATSCOMP:               statset0,        12       105        91        62        59        63        20
MODCORESTATSCOMP:               statset0,        13       113        99        66        63        69        20
MODCORESTATSCOMP:               statset0,        14       120       105        71        68        74        20
MODCORESTATSCOMP:               statset0,        15       128       113        77        74        79        20
MODCORESTATSCOMP:               statset0,        16       137       119        81        78        85        20
MODCORESTATSCOMP:               statset0,        17       145       125        86        84        90        20
MODCORESTATSCOMP:               statset0,        18       153       132        91        89        96        20
MODCORESTATSCOMP:               statset0,        19       161       140        96        94       101        20
MODCORESTATSCOMP:               statset0,        20       169       147       101        99       106        20
MODCORESTATSCOMP:               statset0,        21       176       154       106       104       111        20
MODCORESTATSCOMP:               statset0,        22       183       162       110       109       115        20
MODCORESTATSCOMP:               statset0,        23       192       170       115       113       119        20
MODCORESTATSCOMP:               statset0,        24       200       177       120       119       125        20
MODCORESTATSCOMP:               statset0,        25       207       184       126       123       130        20
MODCORESTATSCOMP:               statset0,        26       216       191       130       128       134        20
MODCORESTATSCOMP:               statset0,        27       224       198       134       133       138        20
MODCORESTATSCOMP:               statset0,        28       231       205       140       138       143        20
MODCORESTATSCOMP:               statset0,        29       238       212       144       143       149        20
MODCORESTATSCOMP:               statset0,        30       245       220       150       148       153        20


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset1,         1        19        16         5         6         6        20
MODCORESTATSCOMP:               statset1,         2        27        23         9        12        12        20
MODCORESTATSCOMP:               statset1,         3        35        30        14        16        18        20
MODCORESTATSCOMP:               statset1,         4        43        37        19        20        23        20
MODCORESTATSCOMP:               statset1,         5        52        44        24        24        29        20
MODCORESTATSCOMP:               statset1,         6        60        52        28        28        34        20
MODCORESTATSCOMP:               statset1,         7        67        60        33        33        39        20
MODCORESTATSCOMP:               statset1,         8        75        66        38        38        45        20
MODCORESTATSCOMP:               statset1,         9        83        73        43        43        50        20
MODCORESTATSCOMP:               statset1,        10        92        80        49        49        55        20
MODCORESTATSCOMP:               statset1,        11       101        87        53        53        60        20
MODCORESTATSCOMP:               statset1,        12       109        94        59        58        65        20
MODCORESTATSCOMP:               statset1,        13       118       100        63        64        70        20
MODCORESTATSCOMP:               statset1,        14       126       107        67        70        75        20
MODCORESTATSCOMP:               statset1,        15       134       114        72        75        80        20
MODCORESTATSCOMP:               statset1,        16       142       121        76        81        84        20
MODCORESTATSCOMP:               statset1,        17       150       127        81        86        90        20
MODCORESTATSCOMP:               statset1,        18       158       134        87        92        95        20
MODCORESTATSCOMP:               statset1,        19       165       141        93        97       100        20
MODCORESTATSCOMP:               statset1,        20       173       149        98       101       105        20
MODCORESTATSCOMP:               statset1,        21       180       156       104       107       109        20
MODCORESTATSCOMP:               statset1,        22       188       163       108       112       115        20
MODCORESTATSCOMP:               statset1,        23       197       170       112       117       119        20
MODCORESTATSCOMP:               statset1,        24       205       177       117       122       125        20
MODCORESTATSCOMP:               statset1,        25       213       184       123       126       129        20
MODCORESTATSCOMP:               statset1,        26       221       191       128       130       134        20
MODCORESTATSCOMP:               statset1,        27       228       197       133       136       139        20
MODCORESTATSCOMP:               statset1,        28       235       204       138       140       145        20
MODCORESTATSCOMP:               statset1,        29       242       212       143       146       151        20
MODCORESTATSCOMP:               statset1,        30       250       220       147       152       156        20


// Level Power/Acc/Defense/Initiative/Constitution/MoveRate
//                              variant,     Level   Constit     Power  Accuracy   Defense   Initive     Move
MODCORESTATSCOMP:               statset2,         1        19        16         5         5         6        20
MODCORESTATSCOMP:               statset2,         2        27        23        10        10        10        20
MODCORESTATSCOMP:               statset2,         3        35        31        15        14        15        20
