ID,NAME,TYPE,SUBTYPE,CLASSTYPE,PWR,ACC,DEF,INI,AFFTYPE,AFFVALUE,SPECIAL,SKILL,MINLEVEL,RARITY,COST,REGION,REGION2,REGION3,REGION4,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE2,ATTRIBUTE3,DESC
1,Dark Gown of Darkness,Armor,Armor,Nephilli,78,10,10,-1,Dark ,20,DeathDefense,,1,Rare,19844,,,,,Classspecific,,,,Dark Gown of Darkness
2,Dark Crown of Mortuus,Helmet,HelmetA,Nephilli,100,-1,1,,Dark ,20,DeathDefense,,1,Rare,1008,,,,,,,,,Dark Crown of Mortuus
3,Munio's Armor,Armor,Armor,Valens,87,5,6,-12,,,HPUP,,23,Unique,217074,Imperia,,,,Tracked,Unsellable,Classspecific,,Munio's Armor
4,Magus,Weapon,Staff,Plain,54,15,-9,,Air ,14,MagicUP,MagicDefUP,18,Infrequent,106272,Imperia,,,,,,,,Air Magus
5,Magus,Weapon,Staff,Plain,54,15,-9,,Earth ,14,MagicUP,MagicDefUP,18,Infrequent,106272,Imperia,,,,,,,,Earth Magus
6,Magus,Weapon,Staff,Plain,54,15,-9,,Water ,14,MagicUP,MagicDefUP,18,Infrequent,106272,Imperia,,,,,,,,Water Magus
7,Munio's Shield,Shield,Shield,Valens,233,,16,,,,StrengthUP,AffinityX2,21,Unique,25536,Imperia,,,,Unsellable,Unbreakable,Classspecific,,Munio's Shield
8,Munio's Sword,Weapon,Sword,Valens,67,18,-10,,,,CriticalAttackUP,AffinityX2,22,Unique,80784,Imperia,,,,Unsellable,Classspecific,,,Munio's Sword
9,Venomous Pair,Weapon,Axe,Dervish,66,12,-10,,Water ,20,AddPoison,,22,Very Rare,104544,Steppes,,,,Tracked,Classspecific,,,Water Venomous Pair
10,Dark The Carnivore Dark,Weapon,Axe,Undead,60,10,-10,,Dark ,12,,,19,Very Rare,49248,Steppes,,,,Classspecific,,,,Dark The Carnivore Dark
11,Dark Dark Gear,Armor,Armor,Undead,71,,6,-12,Dark ,14,,,18,Unique,121968,Imperia,,,,Classspecific,,,,Dark Dark Gear
12,Dark Crown of Darkness,Helmet,HelmetB,UndeadCaster,100,-5,4,,Dark ,16,DeathDefense,,20,Unique,17600,Imperia,,,,Classspecific,,,,Dark Crown of Darkness
13,Dark Death's Head,Weapon,Staff,UndeadCaster,60,15,-10,,Dark ,10,Death,,20,Very Rare,84960,Expanse,,,,,,,,Dark Death's Head
14,Tidal Guard,Armor,Armor,Murmillo,79,,6,-12,Water ,16,,,20,Unique,145200,Imperia,,,,Classspecific,,,,Water Tidal Guard
15,Heavy Scutum,Shield,Shield,Centurion,311,-5,15,,,,,,21,Unique,10080,Imperia,,,,Classspecific,,,,Heavy Scutum
16,Ramshead Bow,Weapon,Bow,Eiji,60,,-10,,Air ,0,,,20,Unique,14400,Steppes,,,,Animating,Classspecific,,,Air Ramshead Bow
17,Blindman's Eye,Accessory,Eye,plain,0,99,,,,,,,1,Very Rare,35424,Steppes,,,,,,,,Blindman's Eye
18,Feathered Pike,Weapon,Javelin,Peltast,60,,-10,,Air ,15,Bleeding,,19,Unique,55404,Imperia,,,,Classspecific,,,,Air Feathered Pike
19,Spiked Helm,Helmet,HelmetD,Barbarian,95,-5,4,,Air ,16,,,19,Unique,10640,Nordagh,,,,Classspecific,,,,Air Spiked Helm
20,Archer's Crown,Helmet,HelmetC,Eiji,90,-5,4,,Air ,18,,,18,Unique,10656,Steppes,,,,Classspecific,,,,Air Archer's Crown
21,Sniper's Bow,Weapon,Bow,Archer,60,5,-10,,,,RangeUP,Death,20,Unique,79200,Steppes,,,,Animating,Classspecific,,,Sniper's Bow
22,Crown of Air,Helmet,HelmetB,Arcane,100,-5,4,,Air ,16,MoveUP,,19,Very Rare,17936,Expanse,,,,,,,,Air Crown of Air
23,Arcane Sash,Accessory,Sash,plain,0,,,,,,MagicStrengthUP,,1,Infrequent,6048,Expanse,,,,,,,,Arcane Sash
24,Sun Wrap,Accessory,Sash,plain,0,,,,,,HPUP,,1,Infrequent,3024,Expanse,,,,,,,,Sun Wrap
25,Royal Garb,Armor,Armor,Dervish,66,,6,-12,Air ,12,CrowdUP,,17,Unique,189244,Expanse,,,,Classspecific,,,,Air Royal Garb
26,Royal Garb,Armor,Armor,Dervish,66,,6,-12,Earth ,12,CrowdUP,,17,Unique,189244,Expanse,,,,Classspecific,,,,Earth Royal Garb
